ontology,GO_ID,GO_term_name,term_size
BP,GO:0071038,TRAMP-dependent tRNA surveillance pathway,24
BP,GO:0071669,plant-type cell wall organization or biogenesis,24
BP,GO:0098656,monoatomic anion transmembrane transport,24
BP,GO:0000387,spliceosomal snRNP assembly,23
BP,GO:0006098,pentose-phosphate shunt,23
BP,GO:0006298,mismatch repair,23
BP,GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,23
BP,GO:0009423,chorismate biosynthetic process,23
BP,GO:0009637,response to blue light,23
BP,GO:0010052,guard cell differentiation,23
BP,GO:0015749,monosaccharide transmembrane transport,23
BP,GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,23
BP,GO:0042732,D-xylose metabolic process,23
BP,GO:0043328,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,23
BP,GO:0045493,xylan catabolic process,23
BP,GO:0045927,positive regulation of growth,23
BP,GO:0048268,clathrin coat assembly,23
BP,GO:0048366,leaf development,23
BP,GO:0000162,L-tryptophan biosynthetic process,22
BP,GO:0000373,Group II intron splicing,22
BP,GO:0005983,starch catabolic process,22
BP,GO:0009691,cytokinin biosynthetic process,22
BP,GO:0031124,mRNA 3'-end processing,22
BP,GO:0034475,U4 snRNA 3'-end processing,22
BP,GO:0046274,lignin catabolic process,22
BP,GO:0048278,vesicle docking,22
BP,GO:0048564,photosystem I assembly,22
BP,GO:0000028,ribosomal small subunit assembly,21
BP,GO:0006189,'de novo' IMP biosynthetic process,21
BP,GO:0006402,mRNA catabolic process,21
BP,GO:0006730,one-carbon metabolic process,21
BP,GO:0006744,ubiquinone biosynthetic process,21
BP,GO:0006857,oligopeptide transport,21
BP,GO:0009082,branched-chain amino acid biosynthetic process,21
BP,GO:0009395,phospholipid catabolic process,21
BP,GO:0016485,protein processing,21
BP,GO:0030026,intracellular manganese ion homeostasis,21
BP,GO:0032956,regulation of actin cytoskeleton organization,21
BP,GO:0043484,regulation of RNA splicing,21
BP,GO:0061157,mRNA destabilization,21
BP,GO:0000122,negative regulation of transcription by RNA polymerase II,20
BP,GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",20
BP,GO:0000911,cytokinesis by cell plate formation,20
BP,GO:0006075,(1->3)-beta-D-glucan biosynthetic process,20
BP,GO:0006526,L-arginine biosynthetic process,20
BP,GO:0006817,phosphate ion transport,20
BP,GO:0006874,intracellular calcium ion homeostasis,20
BP,GO:0009060,aerobic respiration,20
BP,GO:0009903,chloroplast avoidance movement,20
BP,GO:0009904,chloroplast accumulation movement,20
BP,GO:0010143,cutin biosynthetic process,20
BP,GO:0010158,abaxial cell fate specification,20
BP,GO:0015990,electron transport coupled proton transport,20
BP,GO:0019430,removal of superoxide radicals,20
BP,GO:0030163,protein catabolic process,20
BP,GO:0030490,maturation of SSU-rRNA,20
BP,GO:0032981,mitochondrial respiratory chain complex I assembly,20
BP,GO:0045039,protein insertion into mitochondrial inner membrane,20
BP,GO:0045088,regulation of innate immune response,20
BP,GO:0051017,actin filament bundle assembly,20
BP,GO:1904823,purine nucleobase transmembrane transport,20
BP,GO:0001510,RNA methylation,19
BP,GO:0006646,phosphatidylethanolamine biosynthetic process,19
BP,GO:0006826,iron ion transport,19
BP,GO:0007064,mitotic sister chromatid cohesion,19
BP,GO:0009165,nucleotide biosynthetic process,19
BP,GO:0009231,riboflavin biosynthetic process,19
BP,GO:0009585,"red, far-red light phototransduction",19
BP,GO:0009926,auxin polar transport,19
BP,GO:0009966,regulation of signal transduction,19
BP,GO:0010020,chloroplast fission,19
BP,GO:0010228,vegetative to reproductive phase transition of meristem,19
BP,GO:0010315,auxin export across the plasma membrane,19
BP,GO:0016036,cellular response to phosphate starvation,19
BP,GO:0016075,rRNA catabolic process,19
BP,GO:0016926,protein desumoylation,19
BP,GO:0016998,cell wall macromolecule catabolic process,19
BP,GO:0019344,cysteine biosynthetic process,19
BP,GO:0031123,RNA 3'-end processing,19
BP,GO:0034314,Arp2/3 complex-mediated actin nucleation,19
BP,GO:0070475,rRNA base methylation,19
BP,GO:0071806,protein transmembrane transport,19
BP,GO:0080188,gene silencing by siRNA-directed DNA methylation,19
BP,GO:0000723,telomere maintenance,18
BP,GO:0006002,fructose 6-phosphate metabolic process,18
BP,GO:0006086,pyruvate decarboxylation to acetyl-CoA,18
BP,GO:0006383,transcription by RNA polymerase III,18
BP,GO:0006559,L-phenylalanine catabolic process,18
BP,GO:0006614,SRP-dependent cotranslational protein targeting to membrane,18
BP,GO:0006644,phospholipid metabolic process,18
BP,GO:0007186,G protein-coupled receptor signaling pathway,18
BP,GO:0009813,flavonoid biosynthetic process,18
BP,GO:0016925,protein sumoylation,18
BP,GO:0030042,actin filament depolymerization,18
BP,GO:0031145,anaphase-promoting complex-dependent catabolic process,18
BP,GO:0031167,rRNA methylation,18
BP,GO:0034727,piecemeal microautophagy of the nucleus,18
BP,GO:0042908,xenobiotic transport,18
BP,GO:0044772,mitotic cell cycle phase transition,18
BP,GO:0045036,protein targeting to chloroplast,18
BP,GO:0045814,"negative regulation of gene expression, epigenetic",18
BP,GO:0045910,negative regulation of DNA recombination,18
BP,GO:0046148,pigment biosynthetic process,18
BP,GO:0046512,sphingosine biosynthetic process,18
BP,GO:0048511,rhythmic process,18
BP,GO:0071028,nuclear mRNA surveillance,18
BP,GO:0090158,endoplasmic reticulum membrane organization,18
BP,GO:0005987,sucrose catabolic process,17
BP,GO:0006012,galactose metabolic process,17
BP,GO:0006102,isocitrate metabolic process,17
BP,GO:0006301,postreplication repair,17
BP,GO:0006487,protein N-linked glycosylation,17
BP,GO:0006488,dolichol-linked oligosaccharide biosynthetic process,17
BP,GO:0006970,response to osmotic stress,17
BP,GO:0007623,circadian rhythm,17
BP,GO:0009299,mRNA transcription,17
BP,GO:0009767,photosynthetic electron transport chain,17
BP,GO:0009793,embryo development ending in seed dormancy,17
BP,GO:0009809,lignin biosynthetic process,17
BP,GO:0009851,auxin biosynthetic process,17
BP,GO:0010274,hydrotropism,17
BP,GO:0010374,stomatal complex development,17
BP,GO:0010608,post-transcriptional regulation of gene expression,17
BP,GO:0015860,purine nucleoside transmembrane transport,17
BP,GO:0019318,hexose metabolic process,17
BP,GO:0030187,melatonin biosynthetic process,17
BP,GO:0035434,copper ion transmembrane transport,17
BP,GO:0051177,meiotic sister chromatid cohesion,17
BP,GO:0061817,endoplasmic reticulum-plasma membrane tethering,17
BP,GO:0000103,sulfate assimilation,16
BP,GO:0000470,maturation of LSU-rRNA,16
BP,GO:0000727,double-strand break repair via break-induced replication,16
BP,GO:0001676,long-chain fatty acid metabolic process,16
BP,GO:0006071,glycerol metabolic process,16
BP,GO:0006271,DNA strand elongation involved in DNA replication,16
BP,GO:0006303,double-strand break repair via nonhomologous end joining,16
BP,GO:0006401,RNA catabolic process,16
BP,GO:0006596,polyamine biosynthetic process,16
BP,GO:0006782,protoporphyrinogen IX biosynthetic process,16
BP,GO:0006783,heme biosynthetic process,16
BP,GO:0006801,superoxide metabolic process,16
BP,GO:0006863,purine nucleobase transport,16
BP,GO:0009089,lysine biosynthetic process via diaminopimelate,16
BP,GO:0009117,nucleotide metabolic process,16
