"pathway_id","pathway_name","n_genes","calib_mode","acat_p","fisher_p","tfisher_p_analytic","tau_hat","tfisher_stat_hat","minp_p_analytic","stouffer_p_analytic","magma_pvalue","omni_p_analytic","omni_p_analytic_BH","omni_p_global","omni_p_global_BH","omni_p_mvn","omni_p_mvn_BH","acat_p_mvn_cal","fisher_p_mvn_cal","tfisher_p_mvn_cal","minp_p_mvn_cal","stouffer_p_mvn_cal","omni_p_mvn_compcal","omni_p_final","omni_p_final_BH","omni_p_final_q_storey","omni_p_final_q_bky10","omni_p_final_q_ihw10","genes_used","gene_pvals_used","dominant_component","agreement_score","agreement_k","agreement_m","calibration_impact"
"PWY-7224","purine deoxyribonucleosides salvage",9,"mvn",0.0298841400654392,0.024579787322145,0.536823301253514,0.005,0.58070460201532,0.0331608161841138,0.033754869969373,NA,0.0373751982019764,0.108679654346173,NA,NA,0.0424391512169757,0.125180230208345,NA,NA,NA,NA,NA,NA,0.0424391512169757,0.125180230208345,0.0602955520200307,0.180717937976837,0.125180230208345,"SORBI_3002G306900;SORBI_3001G295200;SORBI_3004G184500;SORBI_3008G091400;SORBI_3008G123600;SORBI_3009G259200;SORBI_3003G372900;SORBI_3009G148200;SORBI_3002G095300","6.315e-01;4.414e-02;3.740e-03;1.717e-01;4.988e-01;4.852e-01;1.973e-01;4.770e-01;3.389e-01","fisher_p",0.8,4,5,"Remains_significant"
"PWY-695","abscisic acid biosynthesis",9,"mvn",0.0256838975998894,0.0169383752795059,0.378479259413421,0.2,15.9947594767448,0.0436027677231772,0.0722426532863828,NA,0.0367396534738216,0.107594699459049,NA,NA,0.0436391272174557,0.127800301136834,NA,NA,NA,NA,NA,NA,0.0436391272174557,0.127800301136834,0.0615575613860619,0.184500434739796,0.127800301136834,"SORBI_3010G050300;SORBI_3004G268500;SORBI_3001G155300;SORBI_3002G168700;SORBI_3002G168800;SORBI_3002G037400;SORBI_3005G129700;SORBI_3001G402200;SORBI_3001G042000","7.739e-02;4.941e-03;7.209e-01;5.988e-01;3.265e-01;7.076e-01;8.331e-01;3.135e-01;7.037e-03","fisher_p",0.6,3,5,"Remains_significant"
"PWY-101","photosynthesis light reactions",32,"mvn",0.0207258807133985,0.0386596542216586,0.0910394468952125,0.001,0.761437676841551,0.0216377857725483,0.0737419030699232,NA,0.0345700476153605,0.102258437517554,NA,NA,0.0443391132177356,0.128656581797942,NA,NA,NA,NA,NA,NA,0.0443391132177356,0.128656581797942,0.0619700060273571,0.185736614567451,0.128656581797942,"SORBI_3009G174150;SORBI_3008G120266;SORBI_3001G070500;SORBI_3001G314200;SORBI_3006G073500;SORBI_3002G297300;SORBI_3003G168700;SORBI_3003G171900;SORBI_3009G143100;SORBI_3005G116400;SORBI_3010G139200;SORBI_3003G172300;SORBI_3003G055300;SORBI_3003G328200;SORBI_3003G169100;SORBI_3003G070900;SORBI_3003G172200;SORBI_3003G221700;SORBI_3003G395800;SORBI_3003G313000;SORBI_3009G191300;SORBI_3008G065000;SORBI_3008G102466;SORBI_3008G131700;SORBI_3007G145901;SORBI_3007G207800;SORBI_3001G299900;SORBI_3001G276500;SORBI_3006G151100;SORBI_3002G414400;SORBI_3002G159100;SORBI_3002G004000","1.369e-01;6.615e-01;6.571e-01;4.861e-01;6.834e-04;2.760e-01;2.718e-01;8.597e-01;2.835e-02;4.663e-01;4.633e-01;4.871e-01;3.257e-01;2.891e-01;5.098e-01;6.737e-01;6.453e-01;9.671e-01;6.043e-01;2.099e-01;2.687e-02;3.463e-01;1.512e-01;6.399e-01;3.701e-01;9.510e-01;7.554e-01;7.132e-01;3.695e-02;6.143e-01;9.722e-02;8.067e-02","acat_p",0.6,3,5,"Remains_significant"
"PWY-5188","tetrapyrrole biosynthesis I (from glutamate)",7,"mvn",0.0176509560354327,0.12234221619387,0.523873006129046,0.005,1.37623967769184,0.0174561774586767,0.239122680969329,NA,0.039879773780425,0.113546578124821,NA,NA,0.0445591088178236,0.128656581797942,NA,NA,NA,NA,NA,NA,0.0445591088178236,0.128656581797942,0.0619700060273571,0.185736614567451,0.128656581797942,"SORBI_3001G202600;SORBI_3006G234100;SORBI_3009G180800;SORBI_3010G255100;SORBI_3004G054600;SORBI_3004G054500;SORBI_3001G478600","6.713e-01;6.532e-01;2.513e-03;2.546e-01;5.107e-01;3.991e-01;6.994e-01","minp_p_analytic",0.4,2,5,"Remains_significant"
"DETOX1-PWY","superoxide radicals degradation",10,"mvn",0.0246795487618969,0.0260555545405293,0.155956380053305,0.05,9.43143940785763,0.0288114922099513,0.272580882029846,NA,0.0407723314806919,0.114497643199203,NA,NA,0.0455190896182076,0.129602963496286,NA,NA,NA,NA,NA,NA,0.0455190896182076,0.129602963496286,0.062425849628446,0.187102869836187,0.129602963496286,"SORBI_3010G274500;SORBI_3004G011566;SORBI_3001G517700;SORBI_3010G033000;SORBI_3010G012900;SORBI_3009G093200;SORBI_3007G166600;SORBI_3001G371900;SORBI_3001G453800;SORBI_3002G407900","9.030e-01;9.750e-01;7.668e-03;9.294e-01;1.008e-01;5.992e-01;2.919e-03;1.878e-01;9.552e-01;2.077e-01","acat_p",0.6,3,5,"Remains_significant"
"PWY-6475","<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)",11,"mvn",0.0568823010788044,0.0119236116765806,0.454297397542871,0.2,17.0658772922813,0.0974238335042377,0.0516020161107528,NA,0.0380367001894681,0.109056273270503,NA,NA,0.0455190896182076,0.129602963496286,NA,NA,NA,NA,NA,NA,0.0455190896182076,0.129602963496286,0.062425849628446,0.187102869836187,0.129602963496286,"SORBI_3006G232600;SORBI_3006G177400;SORBI_3002G383400;SORBI_3002G072400;SORBI_3005G160500;SORBI_3001G018000;SORBI_3010G276400;SORBI_3008G180800;SORBI_3001G088700;SORBI_3002G292600;SORBI_3008G096800","3.259e-01;9.291e-01;3.811e-02;3.586e-01;5.070e-02;9.275e-03;1.960e-02;7.227e-01;7.488e-01;1.793e-01;6.683e-01","fisher_p",0.2,1,5,"Remains_significant"
"PWY-6619","adenine and adenosine salvage VI",2,"mvn",0.0283960935285708,0.0491699910072351,0.665843478876746,0.02,0.712921362360702,0.027809915991,0.209405810775812,NA,0.053021338317835,0.140249991679435,NA,NA,0.0483990320193596,0.136852435365086,NA,NA,NA,NA,NA,NA,0.0483990320193596,0.136852435365086,0.0659177021953847,0.197568656689032,0.136852435365086,"SORBI_3004G220000;SORBI_3006G148700","6.092e-01;1.400e-02","minp_p_analytic",0.6,3,5,"Nonsig_to_significant"
"PWY-4361","<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I",11,"mvn",0.016591737256505,0.10405843447207,0.529947527558325,0.005,2.43330571496662,0.0161719833579738,0.433490180294808,NA,0.0378055145292447,0.109056273270503,NA,NA,0.0501589968200636,0.140857456823466,NA,NA,NA,NA,NA,NA,0.0501589968200636,0.140857456823466,0.0678468005784377,0.203350553864863,0.140857456823466,"SORBI_3010G077400;SORBI_3001G485800;SORBI_3001G485500;SORBI_3001G215300;SORBI_3002G223500;SORBI_3001G496300;SORBI_3001G243200;SORBI_3001G243100;SORBI_3003G108800;SORBI_3005G110541;SORBI_3005G100800","4.715e-01;1.481e-03;5.575e-01;9.551e-01;3.295e-01;3.265e-01;2.232e-01;1.521e-01;8.196e-01;4.990e-01;4.031e-01","minp_p_analytic",0.4,2,5,"Significant_to_nonsig"
"PWY-7197","pyrimidine deoxyribonucleotide phosphorylation",8,"mvn",0.0273053926610206,0.0385759421864624,0.529991680716051,0.1,8.20800328415509,0.0295312631081382,0.151177778696089,NA,0.0486812890036027,0.131154573402296,NA,NA,0.0531989360212796,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0531989360212796,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3002G306900;SORBI_3001G295200;SORBI_3004G184500;SORBI_3008G091400;SORBI_3008G123600;SORBI_3009G259200;SORBI_3003G152900;SORBI_3002G392800","6.315e-01;4.414e-02;3.740e-03;1.717e-01;4.988e-01;4.852e-01;3.731e-01;7.409e-01","acat_p",0.6,3,5,"Significant_to_nonsig"
"PWY-7344","UDP-&alpha;-D-galactose biosynthesis",4,"mvn",0.0526199160631,0.0257232753589919,0.67687578790161,0.2,6.65733530788838,0.0633565539791121,0.041820944560607,NA,0.0521493513625376,0.138839182198964,NA,NA,0.0536989260214796,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0536989260214796,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3007G114500;SORBI_3001G372500;SORBI_3002G170100;SORBI_3002G271200","1.098e-01;5.658e-01;1.610e-01;1.623e-02","fisher_p",0.4,2,5,"Remains_nonsignificant"
"PWY-6290","&beta;-cubebene biosynthesis",2,"mvn",0.0353018455400404,0.0451690161687604,0.672697033738389,0.02,0.218513971873899,0.0355385151,0.199899482250454,NA,0.061225654008676,0.15306413502169,NA,NA,0.0541589168216636,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0541589168216636,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3005G130500;SORBI_3002G065500","4.294e-01;1.793e-02","acat_p",0.6,3,5,"Remains_nonsignificant"
"RIBOSYN2-PWY","flavin biosynthesis I (bacteria and plants)",21,"mvn",0.1981940010129,0.0361567089161412,0.791097901886949,0.2,10.1867017578421,0.618525961889432,0.0110108679448664,NA,0.0423410668476281,0.118094132023997,NA,NA,0.0545789084218316,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0545789084218316,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3009G164300;SORBI_3004G187900;SORBI_3007G227000;SORBI_3004G156800;SORBI_3001G531400;SORBI_3001G531200;SORBI_3004G144400;SORBI_3010G039500;SORBI_3009G094700;SORBI_3009G059300;SORBI_3006G175100;SORBI_3002G136100;SORBI_3001G118700;SORBI_3006G244700;SORBI_3008G118600;SORBI_3003G118200;SORBI_3001G052600;SORBI_3003G301500;SORBI_3005G123200;SORBI_3001G524500;SORBI_3001G227200","5.723e-01;4.489e-01;1.425e-01;1.725e-01;4.485e-02;6.044e-02;1.518e-01;3.826e-01;7.118e-01;1.728e-01;2.213e-01;2.688e-01;3.446e-01;5.671e-01;1.618e-01;4.297e-01;7.868e-01;3.221e-01;1.203e-01;9.239e-02;3.587e-01","stouffer_p_analytic",0.4,2,5,"Significant_to_nonsig"
"PWY-5829","geraniol and geranial biosynthesis",8,"mvn",0.103019633920344,0.0621622322421993,0.643366743784261,0.2,9.91358340703432,0.206384049076264,0.0136011779626915,NA,0.048943048123296,0.131154573402296,NA,NA,0.0550988980220396,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0550988980220396,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3010G071800;SORBI_3010G071900;SORBI_3010G072100;SORBI_3010G072000;SORBI_3010G072200;SORBI_3008G109800;SORBI_3006G221850;SORBI_3006G211400","3.406e-01;2.848e-02;4.645e-02;4.255e-02;7.928e-01;5.647e-01;5.806e-01;5.952e-01","stouffer_p_analytic",0.2,1,5,"Significant_to_nonsig"
"PWY-6219","indole-3-acetate inactivation VIII",8,"mvn",0.0947028927553615,0.0373878364156332,0.694078314109236,0.2,8.57200648274047,0.152142583384768,0.0160875381711422,NA,0.0482433068994489,0.130991760455457,NA,NA,0.0551788964220716,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0551788964220716,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3003G306500;SORBI_3003G319900;SORBI_3009G187700;SORBI_3008G015100;SORBI_3001G331200;SORBI_3002G361500;SORBI_3005G134200;SORBI_3002G412500","5.332e-02;1.011e-01;2.042e-02;3.084e-01;4.392e-01;5.373e-01;5.395e-01;2.615e-01","stouffer_p_analytic",0.4,2,5,"Significant_to_nonsig"
"PWY-282","cuticular wax biosynthesis",11,"mvn",0.0242528727664417,0.126224078065162,0.530734008181847,0.005,1.61352781469383,0.0242744477423825,0.0594817801447372,NA,0.0467932074481938,0.129629831444321,NA,NA,0.0555788884222316,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0555788884222316,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3010G212600;SORBI_3008G076200;SORBI_3008G076250;SORBI_3004G218100;SORBI_3004G342000;SORBI_3004G064000;SORBI_3001G222700;SORBI_3006G144500;SORBI_3002G207900;SORBI_3003G040300;SORBI_3001G510300","4.356e-01;7.773e-01;7.740e-01;6.504e-01;2.231e-03;2.247e-01;2.894e-01;3.496e-01;4.983e-01;4.026e-01;2.060e-01","acat_p",0.4,2,5,"Significant_to_nonsig"
"PWY-5138","unsaturated, even numbered fatty acid &beta;-oxidation",12,"mvn",0.0210794662489463,0.0893723005641044,0.531203303773993,0.05,8.77814449603724,0.0219331723698683,0.460543929615171,NA,0.0477764219100366,0.1305888865541,NA,NA,0.0556988860222796,0.148289242007368,NA,NA,NA,NA,NA,NA,0.0556988860222796,0.148289242007368,0.0714264679860772,0.214079539517679,0.148289242007368,"SORBI_3010G081900;SORBI_3006G016500;SORBI_3002G284400;SORBI_3002G284200;SORBI_3002G096300;SORBI_3003G158300;SORBI_3009G111400;SORBI_3004G297400;SORBI_3004G124200;SORBI_3003G025000;SORBI_3003G024900;SORBI_3009G207100","5.589e-01;6.329e-01;5.361e-01;6.132e-01;2.743e-01;5.102e-01;1.681e-02;6.766e-01;1.545e-01;9.437e-01;9.454e-01;1.846e-03","acat_p",0.4,2,5,"Significant_to_nonsig"
"PWY-5745","costunolide biosynthesis I",4,"mvn",0.0316437249358117,0.0538466825760101,0.629620796062736,0.2,8.02858864515386,0.0313091399726241,0.168697522430681,NA,0.0576795477182345,0.146885804748299,NA,NA,0.0568188636227275,0.150295058614957,NA,NA,NA,NA,NA,NA,0.0568188636227275,0.150295058614957,0.0723926095198021,0.216975260676522,0.150295058614957,"SORBI_3009G196700;SORBI_3005G211400;SORBI_3006G121800;SORBI_3009G064400","7.921e-03;8.747e-01;7.595e-01;9.118e-02","minp_p_analytic",0.4,2,5,"Remains_nonsignificant"
"PWY-2582","brassinosteroid biosynthesis II",6,"mvn",0.0239754991549955,0.137494689334693,0.528813609703232,0.005,0.495846085356865,0.0231853890591249,0.392026653935127,NA,0.0536440319307451,0.140987519817984,NA,NA,0.0574188516229675,0.150908520291133,NA,NA,NA,NA,NA,NA,0.0574188516229675,0.150908520291133,0.0726880955589841,0.217860891969593,0.150908520291133,"SORBI_3003G030600;SORBI_3009G074300;SORBI_3004G196200;SORBI_3001G445900;SORBI_3006G114600;SORBI_3005G030400","4.193e-01;3.902e-03;5.375e-01;8.701e-01;5.792e-01;3.887e-01","minp_p_analytic",0.4,2,5,"Remains_nonsignificant"
"MANNCAT-PWY","D-mannose degradation",3,"mvn",0.0295337213504346,0.0751565359503782,0.649246868221306,0.01,0.0807900047221003,0.0285364696596222,0.319132936515336,NA,0.0601147308102741,0.151208832099463,NA,NA,0.0587188256234875,0.153269890577031,NA,NA,NA,NA,NA,NA,0.0587188256234875,0.153269890577031,0.0738254966060583,0.221269912452756,0.153269890577031,"SORBI_3003G087900;SORBI_3005G176100;SORBI_3002G100900","9.604e-03;4.445e-01;7.605e-01","minp_p_analytic",0.4,2,5,"Remains_nonsignificant"
"PWY-5098","chlorophyll <i>a</i> degradation I",9,"mvn",0.0143542643880747,0.184002887394116,0.526954049959862,0.005,2.29316957443441,0.0142068845621509,0.560247468682266,NA,0.0346076322386421,0.102258437517554,NA,NA,0.0591788164236715,0.153269890577031,NA,NA,NA,NA,NA,NA,0.0591788164236715,0.153269890577031,0.0738254966060583,0.221269912452756,0.153269890577031,"SORBI_3004G327200;SORBI_3001G048400;SORBI_3001G504900;SORBI_3001G048500;SORBI_3001G048600;SORBI_3007G010900;SORBI_3003G146500;SORBI_3005G120000;SORBI_3001G306600","6.094e-01;7.479e-01;6.780e-01;7.752e-01;7.458e-01;6.690e-02;6.590e-01;7.422e-01;1.589e-03","minp_p_analytic",0.4,2,5,"Significant_to_nonsig"
"PWY-6124","inosine-5'-phosphate biosynthesis II",6,"mvn",0.0288523735132258,0.143936456616874,0.523930967067495,0.005,0.650352553758723,0.0214772417728405,0.445397632507697,NA,0.0563329196509268,0.14526098777912,NA,NA,0.0594388112237755,0.153269890577031,NA,NA,NA,NA,NA,NA,0.0594388112237755,0.153269890577031,0.0738254966060583,0.221269912452756,0.153269890577031,"SORBI_3007G075200;SORBI_3006G213400;SORBI_3001G392500;SORBI_3006G157000;SORBI_3002G231500;SORBI_3003G028600","9.850e-01;2.511e-01;5.402e-01;4.610e-01;8.473e-01;3.612e-03","minp_p_analytic",0.4,2,5,"Remains_nonsignificant"
"PWY-7205","CMP phosphorylation",10,"mvn",0.0334042437000326,0.041053877186676,0.539344228438388,0.2,12.4727075916494,0.0367767947315852,0.109391889069925,NA,0.0552980093017167,0.144354712470611,NA,NA,0.0614787704245915,0.157539349213016,NA,NA,NA,NA,NA,NA,0.0614787704245915,0.157539349213016,0.0758819664244546,0.227433567525833,0.157539349213016,"SORBI_3002G306900;SORBI_3001G295200;SORBI_3004G184500;SORBI_3008G091400;SORBI_3008G123600;SORBI_3009G259200;SORBI_3010G007500;SORBI_3004G318100;SORBI_3007G223100;SORBI_3006G003300","6.315e-01;4.414e-02;3.740e-03;1.717e-01;4.988e-01;4.852e-01;7.842e-01;5.707e-01;1.105e-01;4.717e-01","acat_p",0.6,3,5,"Remains_nonsignificant"
"PWY-699","brassinosteroid biosynthesis I",7,"mvn",0.0273741836477035,0.104906072230348,0.533265783655311,0.005,0.495846085356865,0.0269970173524773,0.206977046761549,NA,0.0572589863723507,0.146726152579149,NA,NA,0.0622987540249195,0.158649000933025,NA,NA,NA,NA,NA,NA,0.0622987540249195,0.158649000933025,0.0764164522845347,0.229035529515987,0.158649000933025,"SORBI_3003G030600;SORBI_3009G074300;SORBI_3001G172400;SORBI_3005G030400;SORBI_3004G196200;SORBI_3001G445900;SORBI_3006G114600","4.193e-01;3.902e-03;1.703e-01;3.887e-01;5.375e-01;8.701e-01;5.792e-01","minp_p_analytic",0.4,2,5,"Remains_nonsignificant"
"PWY-5041","<i>S</i>-adenosyl-L-methionine cycle II",6,"mvn",0.0502172741081718,0.0288794933920991,0.636299060099999,0.1,6.89493789632618,0.0787633341179259,0.0829035476352381,NA,0.0639995704434004,0.156699684777483,NA,NA,0.0677186456270875,0.171386695722876,NA,NA,NA,NA,NA,NA,0.0677186456270875,0.171386695722876,0.0825518167709112,0.247424455092884,0.171386695722876,"SORBI_3008G178800;SORBI_3001G148900;SORBI_3005G112800;SORBI_3003G151600;SORBI_3003G140000;SORBI_3009G033600","4.875e-01;6.609e-01;2.526e-01;2.344e-02;4.180e-01;1.358e-02","fisher_p",0.2,1,5,"Remains_nonsignificant"
"PWY-5686","UMP biosynthesis I",11,"mvn",0.0363031221914405,0.0346491629629096,0.529963397468263,0.1,11.176328277393,0.0456531606533543,0.151830313846805,NA,0.0590438974340589,0.149432086098544,NA,NA,0.0698586028279434,0.175717958033477,NA,NA,NA,NA,NA,NA,0.0698586028279434,0.175717958033477,0.0846380555605877,0.253677333780724,0.175717958033477,"SORBI_3006G266200;SORBI_3003G427300;SORBI_3003G427200;SORBI_3001G327500;SORBI_3002G413750;SORBI_3003G294100;SORBI_3006G194150;SORBI_3007G092200;SORBI_3003G193700;SORBI_3004G265900;SORBI_3007G104300","4.678e-01;7.577e-01;7.472e-01;4.383e-01;4.239e-03;2.209e-01;2.049e-02;4.818e-01;4.308e-02;5.455e-01;7.905e-01","fisher_p",0.6,3,5,"Remains_nonsignificant"
"PWY-5194","siroheme biosynthesis",2,"mvn",0.0707673282347601,0.0319217251778318,0.708333231803763,0.2,4.12662146826674,0.122122823599,0.0765032528800493,NA,0.0774137777882164,0.186122925790915,NA,NA,0.0716585668286634,0.179146417071659,NA,NA,NA,NA,NA,NA,0.0716585668286634,0.179146417071659,0.0862894411662951,0.258626869716127,0.179146417071659,"SORBI_3003G229600;SORBI_3004G131800","8.059e-02;6.305e-02","fisher_p",0.2,1,5,"Remains_nonsignificant"
"PWY-6606","guanosine nucleotides degradation II",13,"mvn",0.0481255195349871,0.0266224277806294,0.533700239729554,0.2,15.760840861188,0.0632015908752201,0.161032471648697,NA,0.0624408250417139,0.15443796890726,NA,NA,0.0730985380292394,0.181638791466595,NA,NA,NA,NA,NA,NA,0.0730985380292394,0.181638791466595,0.0874899429526647,0.262225015849662,0.181638791466595,"SORBI_3001G325200;SORBI_3002G134400;SORBI_3002G072300;SORBI_3002G206800;SORBI_3001G153300;SORBI_3001G073500;SORBI_3001G125000;SORBI_3003G274200;SORBI_3003G113200;SORBI_3003G061200;SORBI_3001G026900;SORBI_3002G090200;SORBI_3002G090300","8.343e-01;7.647e-01;2.687e-01;6.611e-02;3.974e-01;7.284e-01;1.977e-02;3.712e-01;4.901e-01;8.242e-01;5.010e-03;9.876e-02;1.871e-01","fisher_p",0.4,2,5,"Remains_nonsignificant"
"PWY-4661","1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)",10,"mvn",0.0563020027892107,0.0212109435922564,0.528403424965502,0.2,15.4469586068568,0.108659754125305,0.159890916676717,NA,0.0625285435087929,0.15443796890726,NA,NA,0.0739785204295914,0.18271803238634,NA,NA,NA,NA,NA,NA,0.0739785204295914,0.18271803238634,0.088009780844881,0.263783074923942,0.18271803238634,"SORBI_3001G098000;SORBI_3001G472800;SORBI_3001G261416;SORBI_3004G141100;SORBI_3001G106900;SORBI_3001G278700;SORBI_3001G286100;SORBI_3001G447200;SORBI_3002G266300;SORBI_3006G251500","5.559e-01;5.945e-01;6.966e-01;1.442e-01;2.405e-02;1.144e-02;2.263e-01;8.350e-01;9.028e-01;1.785e-02","fisher_p",0.2,1,5,"Remains_nonsignificant"
"PWY-861","dhurrin biosynthesis",25,"mvn",0.0206758617219509,0.16251700964132,0.265047070804449,0.001,0.335417688852219,0.0209268724129478,0.452038074249105,NA,0.0472871881779888,0.130119108409231,NA,NA,0.0803383932321354,0.197237971408237,NA,NA,NA,NA,NA,NA,0.0803383932321354,0.197237971408237,0.0950035987757578,0.284744958723158,0.197237971408237,"SORBI_3005G158000;SORBI_3008G058500;SORBI_3001G018600;SORBI_3001G018300;SORBI_3001G012200;SORBI_3001G012000;SORBI_3002G110100;SORBI_3002G110200;SORBI_3010G172200;SORBI_3005G158200;SORBI_3005G157600;SORBI_3007G090457;SORBI_3001G012300;SORBI_3001G187600;SORBI_3001G187400;SORBI_3001G187500;SORBI_3001G185900;SORBI_3003G328400;SORBI_3009G150800;SORBI_3009G176600;SORBI_3004G191000;SORBI_3001G012400;SORBI_3001G044400;SORBI_3006G100900;SORBI_3002G269900","6.278e-01;4.241e-01;7.515e-01;5.524e-01;1.913e-01;8.456e-04;6.072e-01;5.158e-01;1.594e-01;5.894e-01;5.596e-01;9.309e-01;3.795e-01;4.363e-01;6.418e-01;5.058e-01;2.839e-01;5.767e-01;6.536e-01;1.257e-01;3.810e-01;3.951e-01;7.248e-02;6.330e-02;7.736e-01","acat_p",0.4,2,5,"Significant_to_nonsig"
"PWY-5059","pinobanksin biosynthesis",20,"mvn",0.0716527108906098,0.0253450181350429,0.545284463712462,0.1,12.3216437268817,0.13425453827489,0.0576079958676269,NA,0.0642086513234565,0.156699684777483,NA,NA,0.0816783664326713,0.199334108555924,NA,NA,NA,NA,NA,NA,0.0816783664326713,0.199334108555924,0.0960132449972032,0.287771072211017,0.199334108555924,"SORBI_3002G137800;SORBI_3006G190000;SORBI_3006G257500;SORBI_3006G253900;SORBI_3006G254000;SORBI_3006G190100;SORBI_3006G118400;SORBI_3006G236900;SORBI_3006G257400;SORBI_3006G237300;SORBI_3001G526900;SORBI_3001G166300;SORBI_3001G166500;SORBI_3001G314300;SORBI_3007G167400;SORBI_3007G216201;SORBI_3005G097600;SORBI_3009G028200;SORBI_3003G021700;SORBI_3010G060166","2.475e-01;4.959e-01;5.572e-01;4.286e-01;4.542e-01;5.204e-01;3.817e-01;3.541e-01;6.872e-01;1.917e-01;3.396e-01;1.670e-02;3.098e-01;3.139e-01;1.936e-02;7.182e-03;6.887e-01;9.086e-02;5.549e-01;4.092e-01","fisher_p",0.2,1,5,"Remains_nonsignificant"
"PWY-7343","UDP-&alpha;-D-glucose biosynthesis I",8,"mvn",0.0482370476016328,0.0388403884082765,0.527329071601559,0.1,8.39592306414604,0.0781497087932858,0.188473101920093,NA,0.0776268788054791,0.186122925790915,NA,NA,0.0827183456330873,0.200677643251869,NA,NA,NA,NA,NA,NA,0.0827183456330873,0.200677643251869,0.096660385252619,0.289710682159388,0.200677643251869,"SORBI_3002G125800;SORBI_3002G155900;SORBI_3001G116500;SORBI_3003G222500;SORBI_3009G168600;SORBI_3004G013500;SORBI_3002G291200;SORBI_3010G251200","1.547e-01;8.107e-01;7.622e-01;7.399e-01;1.012e-02;4.004e-01;2.850e-01;1.485e-02","fisher_p",0.4,2,5,"Remains_nonsignificant"
"PWY-6","GDP-L-fucose biosynthesis II (from L-fucose)",2,"mvn",0.0582133327724842,0.0954542496078471,0.708116621252363,0.05,1.76117161450676,0.041024391471,0.337694755198295,NA,0.0955687368199576,0.215292209319685,NA,NA,0.0844383112337753,0.203645338857929,NA,NA,NA,NA,NA,NA,0.0844383112337753,0.203645338857929,0.0980898349708132,0.293995031449827,0.203645338857929,"SORBI_3004G286250;SORBI_3001G533100","2.073e-02;9.307e-01","minp_p_analytic",0.2,1,5,"Remains_nonsignificant"
"PWYQT-1","lysine degradation III",4,"mvn",0.146874648955601,0.0682345349209139,0.795525716497337,0.2,2.19794670768859,0.272406728168753,0.0257982540212801,NA,0.0842497204541525,0.198519456242543,NA,NA,0.0851382972340553,0.204132759450074,NA,NA,NA,NA,NA,NA,0.0851382972340553,0.204132759450074,0.0983246108105798,0.294698702022994,0.204132759450074,"SORBI_3002G058500;SORBI_3010G009200;SORBI_3003G248700;SORBI_3004G321800","2.536e-01;1.744e-01;7.643e-02;2.037e-01","stouffer_p_analytic",0.2,1,5,"Remains_nonsignificant"
