"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p","minp_p","tfisher_p","omni_p","FDR"
"PWY-5989","stearate biosynthesis II (bacteria and plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5995","linoleate biosynthesis I (plants)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-5997","&alpha;-linolenate biosynthesis I (plants and red algae)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6","GDP-L-fucose biosynthesis II (from L-fucose)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6012","acyl carrier protein metabolism",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6014","vernolate biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6019","pseudouridine degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6030","serotonin and melatonin biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6039","chlorogenic acid biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6040","chlorogenic acid biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6066","IAA biosynthesis VII",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6068","indican biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6069","indigo biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6115","avenacin biosynthesis, initial reactions",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6118","glycerol-3-phosphate shuttle",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6120","L-tyrosine biosynthesis III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6121","5-aminoimidazole ribonucleotide biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6124","inosine-5'-phosphate biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6147","6-hydroxymethyl-dihydropterin diphosphate biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6163","chorismate biosynthesis from 3-dehydroquinate",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6164","3-dehydroquinate biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6196","D-serine metabolism",0,NA,NA,NA,NA,NA,NA,NA
"PWY-621","sucrose degradation III (sucrose invertase)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6219","indole-3-acetate inactivation VIII",0,NA,NA,NA,NA,NA,NA,NA
"PWY-622","starch biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6233","jasmonoyl-amino acid conjugates biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6235","hydroxyjasmonate sulfate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6275","&beta;-caryophyllene biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6290","&beta;-cubebene biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6291","valencene and 7-epi-&alpha;-selinene biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6295","olivetol biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-63","UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6330","acetaldehyde biosynthesis II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6333","acetaldehyde biosynthesis I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6348","phosphate acquisition",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6351","D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6352","3-phosphoinositide biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6360","flavonol glucosylation I",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6363","D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6367","D-<i>myo</i>-inositol-5-phosphate metabolism",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6369","inositol diphosphates biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
"PWY-641","proanthocyanidins biosynthesis from flavanols",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6440","spermine and spermidine degradation II",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6441","spermine and spermidine degradation III",0,NA,NA,NA,NA,NA,NA,NA
"PWY-6442","spermidine hydroxycinnamic acid conjugates biosynthesis",0,NA,NA,NA,NA,NA,NA,NA
