"pathway_id","pathway_name","n_genes","acat_p","fisher_p","stouffer_p_analytic","minp_p_analytic","tfisher_p_analytic","omni_p_final","FDR","genes_used"
"PWY-7489","oryzalexin A, B, and C biosynthesis",2,0.000507008098363517,0.000328942212963517,0.00037913304687916,0.0005080354585975,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3006G065300;SORBI_3006G041700"
"PWY0-1319","CDP-diacylglycerol biosynthesis II",21,0.0104498508678532,0.00131492071190604,0.00831821701735399,0.0123435281470674,7.06782613013601e-06,9.99900009999e-05,0.000561587676848754,"SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3003G073800;SORBI_3003G301900;SORBI_3005G149300;SORBI_3004G025400;SORBI_3002G167100"
"PWY4FS-2","phosphatidylcholine biosynthesis II",13,0.000197092157481322,0.00295460206658825,0.131222336137247,0.000197140060408246,2.61079868835168e-09,9.99900009999e-05,0.000561587676848754,"SORBI_3010G187100;SORBI_3010G077100;SORBI_3004G016400;SORBI_3004G058200;SORBI_3007G051200;SORBI_3001G282900;SORBI_3003G354500;SORBI_3003G266600;SORBI_3003G266500;SORBI_3009G120400;SORBI_3009G218900;SORBI_3004G291700;SORBI_3001G219800"
"PWY4FS-3","phosphatidylcholine biosynthesis III",8,0.000121247666510993,0.000233489908577834,0.0203917883161101,0.000121321559983773,4.68758365457234e-12,9.99900009999e-05,0.000561587676848754,"SORBI_3004G212500;SORBI_3003G354500;SORBI_3003G266600;SORBI_3003G266500;SORBI_3009G120400;SORBI_3009G218900;SORBI_3004G291700;SORBI_3001G219800"
"PWY4FS-4","phosphatidylcholine biosynthesis IV",7,0.000106088908818527,9.603748386867e-05,0.010119567233526,0.000106157169963413,4.03788114056169e-13,9.99900009999e-05,0.000561587676848754,"SORBI_3003G354500;SORBI_3003G266600;SORBI_3003G266500;SORBI_3009G120400;SORBI_3009G218900;SORBI_3004G291700;SORBI_3001G219800"
"PWY4FS-6","phosphatidylethanolamine biosynthesis II",9,0.000359274911051234,0.0303199263112653,0.201209638148219,0.000358826761892303,2.41252695598604e-09,9.99900009999e-05,0.000561587676848754,"SORBI_3010G077100;SORBI_3004G016400;SORBI_3005G017200;SORBI_3007G079400;SORBI_3003G277700;SORBI_3003G040700;SORBI_3009G211000;SORBI_3002G053600;SORBI_3002G214400"
"PWY4LZ-81","Organic Nitrogen Assimilation",20,2.07206432280096e-11,3.7190214614125e-11,0.00013612203540885,2.07199999997961e-11,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3007G174600;SORBI_3004G209300;SORBI_3005G150250;SORBI_3009G225700;SORBI_3003G258800;SORBI_3010G060800;SORBI_3002G402700;SORBI_3004G247000;SORBI_3001G231000;SORBI_3001G116400;SORBI_3001G451500;SORBI_3006G249400;SORBI_3004G351000;SORBI_3006G270100;SORBI_3001G026900;SORBI_3002G090200;SORBI_3002G090300;SORBI_3001G325200;SORBI_3001G156100;SORBI_3004G268100"
"PWYIO2-7","triacylglycerol biosynthesis (Chlamydomonas)",53,5.4105811392378e-11,1e-15,1.00665660846511e-08,5.41076999985638e-11,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3004G341900;SORBI_3002G218500;SORBI_3003G317500;SORBI_3009G188900;SORBI_3009G015800;SORBI_3005G197100;SORBI_3008G112100;SORBI_3001G206000;SORBI_3006G221500;SORBI_3002G267500;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G360700;SORBI_3003G114200;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600;SORBI_3005G214400;SORBI_3008G130800;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G026100;SORBI_3001G493300;SORBI_3006G041266;SORBI_3002G325300;SORBI_3010G134400;SORBI_3010G170000;SORBI_3003G309600;SORBI_3003G258000;SORBI_3009G072700;SORBI_3009G226600;SORBI_3009G040250;SORBI_3009G034600;SORBI_3008G049000;SORBI_3004G261900;SORBI_3006G034200;SORBI_3002G020000;SORBI_3002G260000;SORBI_3010G193300;SORBI_3010G190300;SORBI_3003G265100;SORBI_3003G249000;SORBI_3003G078700;SORBI_3009G165400;SORBI_3009G221500;SORBI_3005G187300;SORBI_3004G293100;SORBI_3004G268300;SORBI_3007G108500;SORBI_3001G049300;SORBI_3001G408400;SORBI_3002G165140"
"PWYQT-4449","polyisoprenoid biosynthesis",5,2.37459063159074e-06,1.44292662097703e-10,4.37214153092425e-10,3.15764601170111e-06,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3003G270500;SORBI_3009G216800;SORBI_3006G248000;SORBI_3002G353300;SORBI_3009G246400"
"SUCSYN-PWY","sucrose biosynthesis I (from photosynthesis)",33,6.62640089085488e-09,0.0129243076776279,0.665347406068559,6.6263999787107e-09,1e-15,9.99900009999e-05,0.000561587676848754,"SORBI_3001G071800;SORBI_3002G230600;SORBI_3010G219700;SORBI_3003G367500;SORBI_3009G152700;SORBI_3001G425400;SORBI_3010G188300;SORBI_3003G096000;SORBI_3003G393900;SORBI_3005G056400;SORBI_3008G053200;SORBI_3004G146000;SORBI_3010G262466;SORBI_3010G262500;SORBI_3010G262433;SORBI_3010G100200;SORBI_3009G016700;SORBI_3005G159000;SORBI_3004G056400;SORBI_3004G205100;SORBI_3007G025400;SORBI_3010G221800;SORBI_3009G183700;SORBI_3004G055200;SORBI_3001G236800;SORBI_3009G041000;SORBI_3009G040900;SORBI_3004G151800;SORBI_3010G205100;SORBI_3003G403300;SORBI_3009G233200;SORBI_3005G089600;SORBI_3004G068400"
