# MEAN_SAMPLE_SIZE = 357
# TOTAL_GENES = 33967
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
PWY-5080                              SET      65     0.046719    0.0020418     0.088599      0.29899 PWY-5080
PWY-5083                              SET      52    -0.017301  -0.00067641     0.096241      0.57133 PWY-5083
PWY-5084                              SET       8    -0.027652  -0.00042432      0.22087      0.54981 PWY-5084
PWY-5097                              SET      15     -0.13698   -0.0028779      0.17506      0.78302 PWY-5097
PWY-5098                              SET       9     -0.24245   -0.0039461      0.23072      0.85333 PWY-5098
PWY-5115                              SET       2      0.19681    0.0015102      0.43859      0.32682 PWY-5115
PWY-5120                              SET       6   -0.0091325  -0.00012137      0.27502      0.51324 PWY-5120
PWY-5121                              SET       6   -0.0091325  -0.00012137      0.27502      0.51324 PWY-5121
PWY-5123                              SET       7      0.18809    0.0026999      0.25717      0.23228 PWY-5123
PWY-5125                              SET      13  -0.00045843  -8.9668e-06      0.17279      0.50106 PWY-5125
PWY-5129                              SET      32     0.026307   0.00080709      0.13254      0.42133 PWY-5129
PWY-5136                              SET      15      0.16024    0.0033666      0.15766      0.15474 PWY-5136
PWY-5137                              SET       6       0.3144    0.0041782      0.24552      0.10018 PWY-5137
PWY-5138                              SET      12      0.11344    0.0021318      0.18245      0.26706 PWY-5138
PWY-5139                              SET       3      0.17588    0.0016529      0.35962      0.31239 PWY-5139
PWY-5142                              SET       9     -0.25472   -0.0041458       0.2335      0.86234 PWY-5142
PWY-5143                              SET      18     -0.14673   -0.0033769       0.1646      0.81364 PWY-5143
PWY-5147                              SET      42    -0.021913  -0.00077007        0.105      0.58266 PWY-5147
PWY-5148                              SET      11     -0.32991    -0.005936      0.20296      0.94797 PWY-5148
PWY-5172                              SET       3     -0.44697   -0.0042005      0.47672      0.82577 PWY-5172
PWY-5173                              SET       3     -0.44697   -0.0042005      0.47672      0.82577 PWY-5173
PWY-5176                              SET       6      0.11137    0.0014801      0.26879      0.33932 PWY-5176
PWY-5188                              SET       7    -0.037515   -0.0005385      0.29232      0.55106 PWY-5188
PWY-5194                              SET       2       0.7444     0.005712      0.44036     0.045479 PWY-5194
PWY-5269                              SET       3      -0.1337   -0.0012565        0.337      0.65422 PWY-5269
PWY-5326                              SET       2     -0.97887   -0.0075111      0.51149      0.97217 PWY-5326
PWY-5337                              SET      11     -0.30753   -0.0055334      0.21444      0.92422 PWY-5337
PWY-5340                              SET       7    -0.030792    -0.000442      0.26195      0.54679 PWY-5340
PWY-5350                              SET       6     -0.38773   -0.0051528      0.25841      0.93325 PWY-5350
PWY-5398                              SET       8     -0.12833   -0.0019692      0.24536      0.69952 PWY-5398
PWY-5410                              SET      20     -0.17315   -0.0042004      0.16129      0.85849 PWY-5410
PWY-5434                              SET       5      0.17638    0.0021398      0.35093      0.30763 PWY-5434
PWY-5441                              SET       5    -0.051017  -0.00061893       0.3111      0.56513 PWY-5441
PWY-5453                              SET       9    -0.037897  -0.00061681      0.22819      0.56595 PWY-5453
PWY-5466                              SET       4     -0.25729   -0.0027919      0.39798      0.74101 PWY-5466
PWY-5481                              SET       2     0.057784   0.00044339      0.39807      0.44229 PWY-5481
PWY-5486                              SET      15       0.1039    0.0021828      0.19277      0.29496 PWY-5486
PWY-5659                              SET      12      0.57695     0.010843      0.23563    0.0071741 PWY-5659
PWY-5667                              SET      29     0.042543    0.0012426      0.12285      0.36456 PWY-5667
PWY-5669                              SET       3    -0.035804  -0.00033648      0.40454      0.53526 PWY-5669
PWY-5670                              SET       2      0.16488    0.0012652      0.56307      0.38483 PWY-5670
PWY-5686                              SET      11      0.21837    0.0039291      0.19381      0.12993 PWY-5686
PWY-5687                              SET      33    -0.093166   -0.0029025      0.12206      0.77735 PWY-5687
PWY-5690                              SET      29     0.055335    0.0016162      0.12265      0.32594 PWY-5690
PWY-5691                              SET       2    -0.049991   -0.0003836      0.41065      0.54845 PWY-5691
PWY-5692                              SET       2     -0.54879    -0.004211      0.38001      0.92564 PWY-5692
PWY-5698                              SET       3     -0.19131   -0.0017978      0.33152      0.71805 PWY-5698
PWY-5723                              SET      38     0.027533   0.00092042      0.10173      0.39333 PWY-5723
PWY-5745                              SET       4     -0.37063   -0.0040219      0.33477      0.86587 PWY-5745
PWY-5800                              SET      27     -0.24177   -0.0068138      0.15995      0.93467 PWY-5800
PWY-5805                              SET       4     -0.40726   -0.0044193      0.31166      0.90434 PWY-5805
PWY-5807                              SET       5     -0.31054   -0.0037674      0.24636      0.89625 PWY-5807
PWY-5829                              SET       8      0.15881     0.002437      0.26071      0.27121 PWY-5829
PWY-5837                              SET      10       -0.195   -0.0033454      0.18507      0.85398 PWY-5837
PWY-5859                              SET       7     -0.47119   -0.0067636      0.30997      0.93575 PWY-5859
PWY-5863                              SET       8    0.0013441   2.0626e-05      0.21858      0.49755 PWY-5863
PWY-5864                              SET       6      -0.1113   -0.0014791      0.23023       0.6856 PWY-5864
PWY-5886                              SET       2      0.24415    0.0018735      0.34155      0.23736 PWY-5886
PWY-5905                              SET       4      0.31235    0.0033894      0.31849      0.16337 PWY-5905
PWY-5910                              SET       6   -0.0091325  -0.00012137      0.27502      0.51324 PWY-5910
PWY-5912                              SET      29      0.03998    0.0011677      0.13738      0.38552 PWY-5912
PWY-5921                              SET      34     0.026349   0.00083323      0.12322      0.41534 PWY-5921
PWY-5925                              SET       8      0.12101    0.0018569      0.27516      0.33005 PWY-5925
PWY-5934                              SET       2     -0.52569   -0.0040338       0.5766      0.81904 PWY-5934
PWY-5936                              SET      52     -0.11119   -0.0043471       0.1072      0.85017 PWY-5936
PWY-5945                              SET       7      0.25261     0.003626      0.24452      0.15079 PWY-5945
PWY-5947                              SET       3     0.017434   0.00016384      0.37483      0.48145 PWY-5947
PWY-5957                              SET       2      0.36177    0.0027759      0.55004      0.25537 PWY-5957
PWY-5968                              SET       7      0.11475    0.0016471      0.23872      0.31538 PWY-5968
PWY-5971                              SET      43     -0.16662   -0.0059245      0.10958       0.9358 PWY-5971
PWY-5976                              SET       9      0.29087    0.0047341      0.24666      0.11916 PWY-5976
PWY-5980                              SET      23     -0.12102   -0.0031482      0.13979      0.80668 PWY-5980
PWY-5987                              SET      22    0.0043857   0.00011158      0.16282      0.48926 PWY-5987
PWY-5989                              SET      38     -0.18643   -0.0062322       0.1179      0.94308 PWY-5989
PWY-5997                              SET       2    0.0077745   5.9656e-05      0.58407      0.49469 PWY-5997
PWY-6                                 SET       2    -0.053703  -0.00041208      0.38004      0.55619 PWY-6
PWY-6012                              SET       3    -0.014468  -0.00013597      0.41566      0.51388 PWY-6012
PWY-6014                              SET      12      0.20169    0.0037903      0.19862      0.15495 PWY-6014
PWY-6019                              SET       2    -0.072181  -0.00055387      0.41372      0.56925 PWY-6019
PWY-6030                              SET      10     -0.16329   -0.0028014      0.24009      0.75178 PWY-6030
PWY-6039                              SET      35     -0.15808   -0.0050717      0.11374      0.91769 PWY-6039
PWY-6040                              SET      23     -0.25421   -0.0066128      0.14471      0.96051 PWY-6040
PWY-6066                              SET       3      0.53469    0.0050248      0.34835     0.062408 PWY-6066
PWY-6115                              SET      12     -0.15632   -0.0029378      0.22268      0.75866 PWY-6115
PWY-6118                              SET       8       0.0843    0.0012936      0.27114      0.37794 PWY-6118
PWY-6120                              SET       5      0.29095    0.0035298       0.3147       0.1776 PWY-6120
PWY-6121                              SET      11      -0.1638   -0.0029472      0.20088      0.79258 PWY-6121
PWY-6124                              SET       6     -0.23907   -0.0031772      0.24083      0.83957 PWY-6124
PWY-6147                              SET       5    -0.089457   -0.0010853      0.29424      0.61945 PWY-6147
PWY-6163                              SET       7      0.36415    0.0052271      0.25668     0.077997 PWY-6163
PWY-6164                              SET       5    -0.056185  -0.00068163      0.26419      0.58421 PWY-6164
PWY-621                               SET       9     0.060568   0.00098579      0.22445      0.39364 PWY-621
PWY-6219                              SET       8      0.11941    0.0018323      0.21824      0.29214 PWY-6219
PWY-622                               SET      22     0.033938   0.00086345      0.14474      0.40731 PWY-622
PWY-6233                              SET       5       0.1913    0.0023209      0.33592      0.28452 PWY-6233
PWY-6235                              SET       3      0.03476   0.00032666      0.27869      0.45037 PWY-6235
PWY-6275                              SET      16     -0.07537   -0.0016354       0.1738      0.66773 PWY-6275
PWY-6290                              SET       2      0.48425    0.0037158       0.4525      0.14228 PWY-6290
PWY-63                                SET       3      0.26247    0.0024666      0.36432      0.23563 PWY-63
PWY-6330                              SET       4      -0.7867   -0.0085367      0.42514      0.96787 PWY-6330
PWY-6333                              SET      11      0.33427    0.0060146      0.21624     0.061081 PWY-6333
PWY-6348                              SET      33     -0.14903   -0.0046429      0.12143      0.89013 PWY-6348
PWY-6351                              SET      31    -0.090951   -0.0027464      0.12361      0.76907 PWY-6351
PWY-6352                              SET      42     0.042125    0.0014804      0.10812      0.34841 PWY-6352
PWY-6360                              SET      23      0.11082    0.0028828      0.14914      0.22872 PWY-6360
PWY-6363                              SET       7     -0.27344    -0.003925      0.22889      0.88388 PWY-6363
PWY-6367                              SET       8     -0.21732   -0.0033348      0.25718      0.80094 PWY-6367
PWY-6369                              SET       3      0.12229    0.0011493      0.40858      0.38235 PWY-6369
PWY-641                               SET       7     0.099898     0.001434      0.23314      0.33415 PWY-641
PWY-6440                              SET       2     0.018897     0.000145      0.39205      0.48078 PWY-6440
PWY-6441                              SET       8      0.13659    0.0020961      0.23649      0.28178 PWY-6441
PWY-6443                              SET     104     0.011919   0.00065851      0.07375      0.43581 PWY-6443
PWY-6457                              SET       9     -0.42572   -0.0069288      0.30204      0.92064 PWY-6457
PWY-6465                              SET      13     -0.18689   -0.0036555      0.18303      0.84638 PWY-6465
PWY-6466                              SET       2      0.30448    0.0023363      0.46697      0.25719 PWY-6466
PWY-6468                              SET       2       0.4358     0.003344      0.42349      0.15173 PWY-6468
PWY-6473                              SET       4     -0.64387   -0.0069868      0.30985      0.98114 PWY-6473
PWY-6475                              SET      11    -0.068923   -0.0012401      0.20743      0.63016 PWY-6475
PWY-6483                              SET       7     -0.71853    -0.010314      0.31944      0.98775 PWY-6483
PWY-6498                              SET       3      0.54234    0.0050967      0.45066      0.11441 PWY-6498
PWY-6515                              SET       3       0.1211    0.0011381      0.32962      0.35666 PWY-6515
PWY-6527                              SET      11       0.4821    0.0086744      0.18687    0.0049443 PWY-6527
PWY-6535                              SET       4     -0.64387   -0.0069868      0.30985      0.98114 PWY-6535
PWY-6540                              SET       5      -0.1187   -0.0014401      0.29375      0.65693 PWY-6540
PWY-6543                              SET       5      0.23765    0.0028831       0.3201      0.22892 PWY-6543
PWY-6546                              SET      23    -0.066104   -0.0017196      0.16206      0.65832 PWY-6546
PWY-6549                              SET      26     -0.19057   -0.0052705      0.11333      0.95366 PWY-6549
PWY-6554                              SET       8      0.26805    0.0041133      0.24445      0.13643 PWY-6554
PWY-6556                              SET       4     -0.19776    -0.002146      0.49484      0.65529 PWY-6556
PWY-6577                              SET       5   -0.0020271  -2.4592e-05      0.27922       0.5029 PWY-6577
PWY-6596                              SET      19     -0.14035   -0.0033185      0.14989      0.82545 PWY-6596
PWY-66                                SET       5     -0.10904   -0.0013228      0.34595      0.62369 PWY-66
PWY-6605                              SET       8      0.39964    0.0061326      0.24578      0.05198 PWY-6605
PWY-6606                              SET      13     -0.27483   -0.0053756      0.17556      0.94125 PWY-6606
PWY-6607                              SET       9      -0.2632   -0.0042838      0.20457      0.90088 PWY-6607
PWY-6613                              SET       4      0.29934    0.0032482      0.33938      0.18888 PWY-6613
PWY-6619                              SET       2      0.24173    0.0018549      0.56462      0.33428 PWY-6619
PWY-6663                              SET      28     -0.10648   -0.0030559      0.13744      0.78074 PWY-6663
PWY-6665                              SET      28      0.35676     0.010239      0.14552    0.0071135 PWY-6665
PWY-6673                              SET       5     -0.52712   -0.0063951      0.39208      0.91059 PWY-6673
PWY-6710                              SET      12      0.20169    0.0037903      0.19862      0.15495 PWY-6710
PWY-6717                              SET      25     -0.11952   -0.0032414      0.13263      0.81625 PWY-6717
PWY-6733                              SET      62     -0.11133   -0.0047521     0.089302      0.89374 PWY-6733
PWY-6745                              SET       4      0.17518    0.0019009      0.28376       0.2685 PWY-6745
PWY-6752                              SET       8      0.37142    0.0056995      0.24939     0.068211 PWY-6752
PWY-6754                              SET       6      0.16963    0.0022544       0.2974      0.28421 PWY-6754
PWY-6762                              SET       7     0.083268    0.0011953      0.24405      0.36648 PWY-6762
PWY-6773                              SET      14      0.12217    0.0024798      0.17724      0.24532 PWY-6773
PWY-6786                              SET      12    -0.076133   -0.0014308      0.20793      0.64287 PWY-6786
PWY-6801                              SET      20     -0.47273    -0.011468       0.1659      0.99781 PWY-6801
PWY-6803                              SET      99    -0.049985   -0.0026946     0.070031      0.76231 PWY-6803
PWY-6814                              SET      43       -0.096   -0.0034136      0.11612       0.7958 PWY-6814
PWY-6823                              SET      15     0.067537     0.001419      0.16667      0.34266 PWY-6823
PWY-6837                              SET       7      0.31661    0.0045447      0.24112     0.094582 PWY-6837
PWY-6908                              SET       8    -0.023284   -0.0003573      0.22862      0.54056 PWY-6908
PWY-6922                              SET       7   -0.0044098    -6.33e-05      0.24224      0.50726 PWY-6922
PWY-6927                              SET      14      -0.2308   -0.0046848       0.1827      0.89675 PWY-6927
PWY-6949                              SET      39    -0.040426   -0.0013691      0.11571      0.63659 PWY-6949
PWY-695                               SET       9      0.17443     0.002839      0.23662      0.23051 PWY-695
PWY-6950                              SET       4     -0.57758   -0.0062675      0.29894      0.97332 PWY-6950
PWY-6959                              SET       9      0.14835    0.0024146      0.21211      0.24215 PWY-6959
PWY-6963                              SET      11     0.027422    0.0004934      0.16637      0.43454 PWY-6963
PWY-6964                              SET       6    -0.063702  -0.00084659      0.22459      0.61166 PWY-6964
PWY-699                               SET       7      0.17796    0.0025545      0.27997      0.26251 PWY-699
