"pathway_id","pathway_name","n_genes","gene_names","gene_pvals","magma_pvalue"
"PWYIO2-7","triacylglycerol biosynthesis (Chlamydomonas)",53,"SORBI_3001G026100;SORBI_3001G049300;SORBI_3001G099300;SORBI_3001G206000;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G408400;SORBI_3001G493300;SORBI_3002G020000;SORBI_3002G165140;SORBI_3002G218500;SORBI_3002G260000;SORBI_3002G267500;SORBI_3002G325300;SORBI_3003G078700;SORBI_3003G114200;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G249000;SORBI_3003G258000;SORBI_3003G265100;SORBI_3003G309600;SORBI_3003G317500;SORBI_3003G360700;SORBI_3004G261900;SORBI_3004G268300;SORBI_3004G293100;SORBI_3004G341900;SORBI_3005G187300;SORBI_3005G197100;SORBI_3005G214400;SORBI_3006G034200;SORBI_3006G041266;SORBI_3006G221500;SORBI_3007G108500;SORBI_3008G049000;SORBI_3008G112100;SORBI_3008G130800;SORBI_3009G015800;SORBI_3009G034600;SORBI_3009G040250;SORBI_3009G072700;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G165400;SORBI_3009G188900;SORBI_3009G202600;SORBI_3009G221500;SORBI_3009G226600;SORBI_3010G134400;SORBI_3010G170000;SORBI_3010G190300;SORBI_3010G193300","2.3687e-01;4.8057e-01;3.5257e-01;1.5080e-01;4.8248e-01;3.3978e-01;4.3833e-01;3.3176e-01;2.8703e-01;6.2997e-01;8.1610e-01;7.1056e-01;4.3883e-01;6.8405e-01;6.3552e-01;1.6733e-02;1.8586e-01;7.5373e-01;1.8355e-01;8.4001e-01;1.7564e-02;1.2465e-02;3.6203e-01;6.8265e-01;3.1363e-03;2.1068e-02;1.2726e-02;2.9342e-01;7.5824e-01;4.7371e-03;5.3470e-01;1.7569e-01;5.7001e-01;3.0738e-01;4.4669e-01;3.1930e-01;7.7946e-01;6.3628e-03;7.0366e-01;2.8747e-01;4.1120e-01;9.5736e-01;1.4101e-01;1.1228e-02;2.6893e-02;1.7381e-02;5.9127e-04;2.4525e-08;1.0209e-12;2.2177e-01;3.1909e-01;6.2095e-01;5.1254e-01",0.33987
"TRIGLSYN-PWY","diacylglycerol and triacylglycerol biosynthesis",53,"SORBI_3001G026100;SORBI_3001G049300;SORBI_3001G099300;SORBI_3001G206000;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G408400;SORBI_3001G493300;SORBI_3002G020000;SORBI_3002G165140;SORBI_3002G218500;SORBI_3002G260000;SORBI_3002G267500;SORBI_3002G325300;SORBI_3003G078700;SORBI_3003G114200;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G249000;SORBI_3003G258000;SORBI_3003G265100;SORBI_3003G309600;SORBI_3003G317500;SORBI_3003G360700;SORBI_3004G261900;SORBI_3004G268300;SORBI_3004G293100;SORBI_3004G341900;SORBI_3005G187300;SORBI_3005G197100;SORBI_3005G214400;SORBI_3006G034200;SORBI_3006G041266;SORBI_3006G221500;SORBI_3007G108500;SORBI_3008G049000;SORBI_3008G112100;SORBI_3008G130800;SORBI_3009G015800;SORBI_3009G034600;SORBI_3009G040250;SORBI_3009G072700;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G165400;SORBI_3009G188900;SORBI_3009G202600;SORBI_3009G221500;SORBI_3009G226600;SORBI_3010G134400;SORBI_3010G170000;SORBI_3010G190300;SORBI_3010G193300","2.3687e-01;4.8057e-01;3.5257e-01;1.5080e-01;4.8248e-01;3.3978e-01;4.3833e-01;3.3176e-01;2.8703e-01;6.2997e-01;8.1610e-01;7.1056e-01;4.3883e-01;6.8405e-01;6.3552e-01;1.6733e-02;1.8586e-01;7.5373e-01;1.8355e-01;8.4001e-01;1.7564e-02;1.2465e-02;3.6203e-01;6.8265e-01;3.1363e-03;2.1068e-02;1.2726e-02;2.9342e-01;7.5824e-01;4.7371e-03;5.3470e-01;1.7569e-01;5.7001e-01;3.0738e-01;4.4669e-01;3.1930e-01;7.7946e-01;6.3628e-03;7.0366e-01;2.8747e-01;4.1120e-01;9.5736e-01;1.4101e-01;1.1228e-02;2.6893e-02;1.7381e-02;5.9127e-04;2.4525e-08;1.0209e-12;2.2177e-01;3.1909e-01;6.2095e-01;5.1254e-01",0.33987
"GLUGLNSYN-PWY","L-glutamate biosynthesis IV",6,"SORBI_3003G258800;SORBI_3004G209300;SORBI_3005G150250;SORBI_3007G174600;SORBI_3009G225700;SORBI_3010G060800","3.2362e-01;1.4783e-04;7.8438e-01;5.6084e-03;1.0360e-12;5.6298e-01",0.34196
"PWY-6823","molybdenum cofactor biosynthesis",15,"SORBI_3001G486500;SORBI_3002G174900;SORBI_3003G284200;SORBI_3004G037600;SORBI_3004G132600;SORBI_3004G183600;SORBI_3004G263800;SORBI_3005G014700;SORBI_3005G104200;SORBI_3006G107200;SORBI_3006G169000;SORBI_3006G251800;SORBI_3008G066200;SORBI_3008G066401;SORBI_3010G055600","5.8826e-01;7.1364e-02;7.0561e-01;6.8216e-01;1.7975e-01;3.9165e-01;2.1444e-01;6.3950e-01;4.3990e-01;1.0480e-01;2.8817e-01;4.5530e-03;4.3699e-02;6.3135e-01;2.7626e-02",0.34266
"PWY-5032","<i>ent</i>-kaurene biosynthesis I",3,"SORBI_3001G248600;SORBI_3005G161600;SORBI_3006G211500","3.2839e-01;4.5400e-01;6.2837e-01",0.34664
"PWY-6352","3-phosphoinositide biosynthesis",42,"SORBI_3001G118000;SORBI_3001G121900;SORBI_3001G124100;SORBI_3001G162700;SORBI_3001G203400;SORBI_3001G294100;SORBI_3001G345100;SORBI_3001G367301;SORBI_3001G429500;SORBI_3001G481900;SORBI_3002G196600;SORBI_3002G223600;SORBI_3002G235900;SORBI_3002G292800;SORBI_3002G403100;SORBI_3003G127200;SORBI_3003G373500;SORBI_3004G130300;SORBI_3004G321100;SORBI_3005G031700;SORBI_3005G104500;SORBI_3005G137500;SORBI_3006G060000;SORBI_3006G258500;SORBI_3006G280400;SORBI_3007G004500;SORBI_3007G008900;SORBI_3007G088100;SORBI_3007G133000;SORBI_3007G146400;SORBI_3007G154701;SORBI_3008G011901;SORBI_3008G018500;SORBI_3009G179600;SORBI_3009G253700;SORBI_3010G072400;SORBI_3010G107000;SORBI_3010G118200;SORBI_3010G145900;SORBI_3010G223300;SORBI_3010G279300;SORBI_3010G279800","3.7988e-01;2.0380e-01;8.1793e-01;7.1328e-01;4.1217e-01;5.6084e-01;5.4858e-01;4.8987e-01;3.2917e-01;1.2130e-01;4.9779e-01;5.5426e-01;7.3497e-01;1.6088e-01;2.0372e-01;7.0133e-01;4.1293e-01;2.8110e-01;6.3943e-01;7.4564e-01;5.2153e-01;4.1344e-01;3.7476e-01;1.9709e-01;7.9558e-01;1.3397e-02;2.4798e-01;3.1045e-02;5.3680e-03;8.5799e-01;6.1795e-01;7.2260e-01;8.7149e-01;3.4060e-01;4.9013e-05;3.7535e-02;6.0488e-01;2.7917e-02;8.1176e-01;9.5047e-02;3.9228e-01;4.2400e-01",0.34841
"PWY-922","mevalonate pathway I",15,"SORBI_3001G348100;SORBI_3001G434700;SORBI_3001G530100;SORBI_3002G250400;SORBI_3002G268700;SORBI_3002G330500;SORBI_3003G100800;SORBI_3004G012400;SORBI_3004G262100;SORBI_3004G327500;SORBI_3004G330600;SORBI_3007G182000;SORBI_3007G207600;SORBI_3008G190100;SORBI_3009G137700","1.1297e-01;1.8639e-01;7.5034e-01;3.7701e-01;5.4192e-01;2.2585e-02;7.3461e-01;9.4824e-01;3.9772e-03;6.0083e-01;4.8577e-01;7.3884e-01;2.8635e-01;3.3536e-01;2.9403e-01",0.35011
"PWY-7388","octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",18,"SORBI_3001G262400;SORBI_3001G403400;SORBI_3002G401301;SORBI_3003G142900;SORBI_3003G169200;SORBI_3004G080200;SORBI_3004G152800;SORBI_3004G178100;SORBI_3006G030100;SORBI_3006G043700;SORBI_3007G077400;SORBI_3007G079600;SORBI_3007G209800;SORBI_3007G225300;SORBI_3008G087300;SORBI_3008G114300;SORBI_3009G150900;SORBI_3010G073500","3.0664e-01;4.7264e-01;3.0225e-01;4.1218e-01;5.2614e-01;5.9859e-01;4.8591e-01;4.1160e-03;1.8362e-02;7.6722e-02;8.0364e-01;2.6662e-01;6.3412e-01;4.9956e-01;6.6242e-01;7.4929e-01;5.7239e-01;2.5518e-01",0.35561
"PWY-6515","phloridzin biosynthesis",3,"SORBI_3003G267900;SORBI_3003G287500;SORBI_3003G290700","1.0141e-01;3.2128e-01;5.3527e-01",0.35666
"PWY-2582","brassinosteroid biosynthesis II",6,"SORBI_3001G445900;SORBI_3003G030600;SORBI_3004G196200;SORBI_3005G030400;SORBI_3006G114600;SORBI_3009G074300","8.7012e-01;4.1925e-01;5.3752e-01;3.8872e-01;5.7917e-01;3.9021e-03",0.36351
"PWY-5667","CDP-diacylglycerol biosynthesis I",29,"SORBI_3001G026100;SORBI_3001G099300;SORBI_3001G206000;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G493300;SORBI_3002G167100;SORBI_3002G267500;SORBI_3002G325300;SORBI_3003G073800;SORBI_3003G114200;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G301900;SORBI_3003G317500;SORBI_3003G360700;SORBI_3004G025400;SORBI_3005G149300;SORBI_3005G197100;SORBI_3005G214400;SORBI_3006G041266;SORBI_3006G221500;SORBI_3008G112100;SORBI_3008G130800;SORBI_3009G015800;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G188900;SORBI_3009G202600","2.3687e-01;3.5257e-01;1.5080e-01;4.8248e-01;3.3978e-01;3.3176e-01;2.5042e-01;4.3883e-01;6.8405e-01;3.6660e-01;1.6733e-02;1.8586e-01;7.5373e-01;1.9491e-01;3.6203e-01;6.8265e-01;9.0784e-01;3.5688e-01;4.7371e-03;5.3470e-01;5.7001e-01;3.0738e-01;7.7946e-01;6.3628e-03;7.0366e-01;1.4101e-01;1.1228e-02;1.7381e-02;5.9127e-04",0.36456
"PWY4FS-4","phosphatidylcholine biosynthesis IV",7,"SORBI_3001G219800;SORBI_3003G266500;SORBI_3003G266600;SORBI_3003G354500;SORBI_3004G291700;SORBI_3009G120400;SORBI_3009G218900","8.2652e-01;5.8005e-02;1.2097e-01;4.2928e-01;4.2946e-02;3.3127e-01;1.5166e-05",0.36566
"GLUT-REDOX-PWY","glutathione-glutaredoxin redox reactions",5,"SORBI_3001G258400;SORBI_3003G031900;SORBI_3004G001800;SORBI_3008G117400;SORBI_3008G118000","1.1841e-02;4.7917e-01;5.0515e-01;4.7077e-01;5.7835e-01",0.36594
"PWY-6762","salicylate glucosides biosynthesis IV",7,"SORBI_3001G093100;SORBI_3001G459700;SORBI_3002G366500;SORBI_3003G223600;SORBI_3003G232900;SORBI_3003G233000;SORBI_3003G233100","8.1187e-04;7.3584e-01;2.2354e-01;4.3160e-01;2.9622e-01;4.1590e-01;5.6061e-01",0.36648
"GLYCOLYSIS","glycolysis I (from glucose 6-phosphate)",61,"SORBI_3001G052500;SORBI_3001G057200;SORBI_3001G071800;SORBI_3001G140700;SORBI_3001G236800;SORBI_3001G253300;SORBI_3001G290600;SORBI_3001G384100;SORBI_3001G386900;SORBI_3001G425400;SORBI_3001G426100;SORBI_3002G054400;SORBI_3002G186900;SORBI_3002G201700;SORBI_3002G230600;SORBI_3002G277100;SORBI_3003G034700;SORBI_3003G072300;SORBI_3003G096000;SORBI_3003G105000;SORBI_3003G130800;SORBI_3003G244700;SORBI_3003G290000;SORBI_3003G336000;SORBI_3003G352300;SORBI_3003G367500;SORBI_3003G393900;SORBI_3004G055200;SORBI_3004G056400;SORBI_3004G146000;SORBI_3004G205100;SORBI_3004G234100;SORBI_3005G034400;SORBI_3005G056400;SORBI_3005G101400;SORBI_3005G159000;SORBI_3006G020900;SORBI_3006G074800;SORBI_3006G114700;SORBI_3006G267200;SORBI_3007G025400;SORBI_3007G139500;SORBI_3008G033600;SORBI_3008G053200;SORBI_3008G116600;SORBI_3009G016700;SORBI_3009G071800;SORBI_3009G152700;SORBI_3009G183700;SORBI_3009G204601;SORBI_3010G026925;SORBI_3010G027000;SORBI_3010G041400;SORBI_3010G090100;SORBI_3010G100200;SORBI_3010G188300;SORBI_3010G219700;SORBI_3010G221800;SORBI_3010G262433;SORBI_3010G262466;SORBI_3010G262500","8.0864e-01;3.3121e-01;4.3261e-01;1.0886e-01;9.1355e-03;1.1284e-01;2.3490e-01;1.0031e-01;2.5119e-01;5.7391e-01;7.6963e-01;3.5799e-01;7.4310e-01;1.6772e-01;2.9396e-01;5.5190e-01;6.0009e-01;5.5333e-02;6.6015e-01;4.0004e-01;6.6422e-01;7.2005e-01;2.4715e-01;3.0090e-01;8.3862e-01;6.7474e-02;5.9231e-01;6.0467e-01;5.9927e-01;4.0051e-01;3.3817e-01;2.2107e-01;6.8297e-01;9.0843e-01;8.6506e-01;6.3636e-01;2.4253e-01;3.5284e-03;8.4138e-01;5.8904e-01;8.3006e-01;1.2138e-01;9.1453e-01;1.8855e-01;5.0936e-01;7.8576e-01;1.2960e-01;3.0356e-01;6.1363e-02;5.6411e-01;7.7103e-01;8.4948e-01;6.6665e-02;8.6382e-01;6.5632e-01;5.3703e-01;6.4916e-01;6.8791e-01;9.5645e-01;9.6941e-01;7.9998e-01",0.37176
"PANTO-PWY","phosphopantothenate biosynthesis I",6,"SORBI_3001G009900;SORBI_3002G275700;SORBI_3003G011600;SORBI_3003G011700;SORBI_3003G011800;SORBI_3010G078100","5.7641e-01;4.4646e-01;2.6404e-01;2.2724e-01;2.5845e-01;3.7829e-01",0.37211
"PWY-2161B","glutamate removal from folates",3,"SORBI_3009G199001;SORBI_3009G199100;SORBI_3009G199200","1.2994e-03;6.2066e-04;6.3858e-04",0.37431
"PWY-6118","glycerol-3-phosphate shuttle",8,"SORBI_3001G247500;SORBI_3002G081500;SORBI_3003G326800;SORBI_3003G420800;SORBI_3003G443400;SORBI_3006G029700;SORBI_3007G223801;SORBI_3009G183300","8.4200e-01;3.0293e-01;6.9222e-01;2.4545e-01;2.3111e-01;3.5243e-01;1.5168e-01;2.7787e-02",0.37794
"PWY-7221","guanosine ribonucleotides <i>de novo</i> biosynthesis",5,"SORBI_3001G069900;SORBI_3001G389500;SORBI_3002G029600;SORBI_3006G278500;SORBI_3008G112600","3.5807e-01;2.6298e-01;4.5223e-01;8.3573e-01;1.8501e-01",0.37859
"PWY-701","L-methionine degradation II",2,"SORBI_3001G193600;SORBI_3006G232400","6.2129e-01;3.4050e-01",0.3787
"PWY-7909","formaldehyde oxidation VII (THF pathway)",4,"SORBI_3001G542800;SORBI_3002G172600;SORBI_3004G018000;SORBI_3009G045800","5.6785e-01;3.4865e-01;8.1093e-01;2.5325e-01",0.37985
"PWY0-1319","CDP-diacylglycerol biosynthesis II",21,"SORBI_3001G026100;SORBI_3001G099300;SORBI_3001G250200;SORBI_3001G283700;SORBI_3001G493300;SORBI_3002G167100;SORBI_3002G325300;SORBI_3003G073800;SORBI_3003G114200;SORBI_3003G142500;SORBI_3003G229700;SORBI_3003G301900;SORBI_3003G360700;SORBI_3004G025400;SORBI_3005G149300;SORBI_3005G214400;SORBI_3006G041266;SORBI_3008G130800;SORBI_3009G157000;SORBI_3009G162000;SORBI_3009G202600","2.3687e-01;3.5257e-01;4.8248e-01;3.3978e-01;3.3176e-01;2.5042e-01;6.8405e-01;3.6660e-01;1.6733e-02;1.8586e-01;7.5373e-01;1.9491e-01;6.8265e-01;9.0784e-01;3.5688e-01;5.3470e-01;5.7001e-01;6.3628e-03;1.4101e-01;1.1228e-02;5.9127e-04",0.37996
"PWY-6369","inositol diphosphates biosynthesis",3,"SORBI_3001G132600;SORBI_3003G315166;SORBI_3006G251500","5.6191e-01;5.3003e-01;1.7848e-02",0.38235
"PWY-5670","epoxysqualene biosynthesis",2,"SORBI_3001G049600;SORBI_3001G447600","4.4244e-01;3.3440e-01",0.38483
"PWY-2541","phytosterol biosynthesis (plants)",27,"SORBI_3001G343000;SORBI_3001G343100;SORBI_3001G343300;SORBI_3001G343400;SORBI_3001G343500;SORBI_3001G343601;SORBI_3001G343832;SORBI_3001G349200;SORBI_3001G350200;SORBI_3001G386700;SORBI_3001G513600;SORBI_3001G519400;SORBI_3002G264300;SORBI_3003G083300;SORBI_3003G106300;SORBI_3003G106400;SORBI_3003G106600;SORBI_3003G106800;SORBI_3003G107400;SORBI_3003G107600;SORBI_3003G166500;SORBI_3004G261300;SORBI_3005G048700;SORBI_3007G137300;SORBI_3009G025700;SORBI_3009G031100;SORBI_3009G178000","8.0800e-01;5.7573e-01;4.1263e-01;2.6961e-01;6.4252e-01;3.5494e-02;5.1578e-01;4.2072e-03;5.9429e-01;2.9339e-01;4.7711e-01;3.2112e-02;6.5804e-01;9.0563e-01;6.4695e-01;5.4547e-01;3.1056e-01;4.0574e-01;7.1588e-01;7.3711e-01;4.4063e-01;3.3101e-01;2.3061e-02;4.9895e-01;4.9278e-02;2.2749e-01;6.6254e-04",0.38546
"PWY-5912","2'-deoxymugineic acid phytosiderophore biosynthesis",29,"SORBI_3001G151400;SORBI_3001G274600;SORBI_3001G274800;SORBI_3001G275100;SORBI_3001G275200;SORBI_3001G395900;SORBI_3001G443100;SORBI_3002G041100;SORBI_3002G041200;SORBI_3003G140000;SORBI_3003G151600;SORBI_3003G199900;SORBI_3005G114600;SORBI_3005G134501;SORBI_3005G152000;SORBI_3005G152100;SORBI_3005G152200;SORBI_3005G152800;SORBI_3005G200300;SORBI_3006G018200;SORBI_3006G018300;SORBI_3006G095800;SORBI_3006G096000;SORBI_3006G096100;SORBI_3006G096200;SORBI_3006G096300;SORBI_3006G096400;SORBI_3008G005300;SORBI_3009G033600","7.9885e-01;9.2207e-02;1.3748e-01;2.5136e-01;4.1334e-02;9.3846e-02;8.4900e-01;2.5713e-01;2.1079e-01;4.1804e-01;2.3436e-02;7.8939e-01;4.9616e-01;5.9158e-01;8.7461e-01;3.7011e-01;3.6176e-01;7.0301e-01;2.8438e-01;6.6780e-01;4.9349e-01;1.9145e-01;1.9467e-01;8.5822e-02;2.0921e-01;2.6330e-01;9.4145e-02;9.0522e-01;1.3580e-02",0.38552
"PWY-4201","volatile cinnamoic ester biosynthesis",4,"SORBI_3007G058400;SORBI_3007G058600;SORBI_3007G058800;SORBI_3007G059100","5.1295e-01;6.6301e-01;1.0395e-01;4.7243e-01",0.39063
"PWY-5723","Rubisco shunt",38,"SORBI_3001G057200;SORBI_3001G069000;SORBI_3001G140700;SORBI_3001G290600;SORBI_3001G384100;SORBI_3001G386900;SORBI_3001G426100;SORBI_3001G491000;SORBI_3002G051100;SORBI_3002G054400;SORBI_3002G186900;SORBI_3002G257300;SORBI_3003G130800;SORBI_3003G172800;SORBI_3003G182400;SORBI_3003G244700;SORBI_3003G336000;SORBI_3003G410500;SORBI_3004G272100;SORBI_3005G033000;SORBI_3005G034400;SORBI_3005G042000;SORBI_3005G101400;SORBI_3005G194400;SORBI_3006G034300;SORBI_3006G200800;SORBI_3006G267200;SORBI_3007G043400;SORBI_3007G078400;SORBI_3007G080150;SORBI_3008G033600;SORBI_3008G116600;SORBI_3008G135701;SORBI_3009G062800;SORBI_3010G023700;SORBI_3010G024000;SORBI_3010G026925;SORBI_3010G027000","3.3121e-01;2.1943e-01;1.0886e-01;2.3490e-01;1.0031e-01;2.5119e-01;7.6963e-01;9.1260e-01;6.3458e-04;3.5799e-01;7.4310e-01;4.0388e-01;6.6422e-01;7.6426e-01;8.0340e-01;7.2005e-01;3.0090e-01;2.8934e-01;2.4660e-02;7.1110e-01;6.8297e-01;1.7571e-01;8.6506e-01;6.0223e-01;2.2951e-03;5.2227e-01;5.8904e-01;6.5523e-01;4.5431e-01;4.7856e-01;9.1453e-01;5.0936e-01;2.9568e-01;9.2483e-02;6.8846e-01;6.7261e-01;7.7103e-01;8.4948e-01",0.39333
"PWY-621","sucrose degradation III (sucrose invertase)",9,"SORBI_3001G071800;SORBI_3001G172300;SORBI_3002G230600;SORBI_3003G280400;SORBI_3003G358000;SORBI_3003G386000;SORBI_3005G058800;SORBI_3007G014700;SORBI_3010G095000","4.3261e-01;2.2148e-01;2.9396e-01;3.2611e-01;5.6708e-01;9.1931e-01;6.9903e-01;7.8537e-01;7.4623e-01",0.39364
"ASPARAGINE-BIOSYNTHESIS","L-asparagine biosynthesis I",4,"SORBI_3001G406800;SORBI_3005G003200;SORBI_3008G139800;SORBI_3010G110000","7.6450e-01;5.7212e-01;1.3319e-01;8.0159e-01",0.39399
"ASPARAGINESYN-PWY","L-asparagine biosynthesis II",4,"SORBI_3001G406800;SORBI_3005G003200;SORBI_3008G139800;SORBI_3010G110000","7.6450e-01;5.7212e-01;1.3319e-01;8.0159e-01",0.39399
"PWY0-1325","superpathway of L-asparagine biosynthesis",4,"SORBI_3001G406800;SORBI_3005G003200;SORBI_3008G139800;SORBI_3010G110000","7.6450e-01;5.7212e-01;1.3319e-01;8.0159e-01",0.39399
"PWY-4984","urea cycle",8,"SORBI_3001G397000;SORBI_3003G193700;SORBI_3004G265900;SORBI_3004G268100;SORBI_3006G004500;SORBI_3007G104300;SORBI_3008G083400;SORBI_3009G158800","3.4809e-01;4.3081e-02;5.4553e-01;7.6394e-02;4.9245e-01;7.9050e-01;4.2029e-01;1.2935e-01",0.39661
"UDPNACETYLGALSYN-PWY","UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II",10,"SORBI_3001G071800;SORBI_3002G230600;SORBI_3002G246800;SORBI_3003G017400;SORBI_3003G280400;SORBI_3004G259800;SORBI_3006G213100;SORBI_3007G075500;SORBI_3008G016900;SORBI_3010G251200","4.3261e-01;2.9396e-01;9.0503e-01;6.0414e-01;3.2611e-01;9.3496e-02;3.6434e-01;3.8883e-01;4.9009e-01;1.4848e-02",0.39667
"PWY-7484","phytocassanes biosynthesis, shared reactions",10,"SORBI_3001G175900;SORBI_3001G176000;SORBI_3001G176100;SORBI_3001G176600;SORBI_3001G229500;SORBI_3001G235500;SORBI_3001G362900;SORBI_3002G065700;SORBI_3004G068900;SORBI_3005G206601","7.9430e-01;4.7024e-01;2.5219e-01;9.7687e-02;6.1224e-01;9.3480e-01;8.3842e-01;1.3152e-02;5.1750e-01;8.8152e-01",0.39718
"PWY1F-353","glycine betaine biosynthesis III (plants)",3,"SORBI_3006G109500;SORBI_3007G130800;SORBI_3010G248301","4.2450e-02;6.8743e-01;6.1294e-01",0.40098
"PWY-7897","flavonoid di-C-glucosylation",37,"SORBI_3001G035600;SORBI_3001G187000;SORBI_3001G215000;SORBI_3001G465600;SORBI_3001G500800;SORBI_3001G518800;SORBI_3002G009600;SORBI_3002G009700;SORBI_3004G062500;SORBI_3004G109000;SORBI_3004G272700;SORBI_3004G318200;SORBI_3005G102100;SORBI_3005G107800;SORBI_3005G135400;SORBI_3005G135500;SORBI_3005G135700;SORBI_3005G136200;SORBI_3005G136300;SORBI_3005G136450;SORBI_3005G136600;SORBI_3005G136800;SORBI_3005G137000;SORBI_3005G137100;SORBI_3005G137200;SORBI_3005G137300;SORBI_3007G027200;SORBI_3007G058900;SORBI_3007G089900;SORBI_3007G145600;SORBI_3008G030100;SORBI_3010G012400;SORBI_3010G076700;SORBI_3010G120200;SORBI_3010G120400;SORBI_3010G120600;SORBI_3010G214900","1.9725e-01;6.0571e-01;8.2307e-01;7.4805e-01;1.0609e-03;1.0567e-01;4.7189e-01;3.5019e-01;6.0584e-01;5.3289e-01;3.8108e-01;5.0544e-01;4.0145e-01;6.6156e-01;5.5863e-01;8.4919e-01;9.2854e-01;9.2091e-01;5.6285e-01;5.3842e-01;4.2890e-01;5.1462e-01;9.1909e-01;8.8787e-01;4.4487e-01;4.5240e-01;4.4372e-01;9.3648e-01;8.3036e-03;6.3622e-01;2.1528e-01;2.3899e-01;1.7617e-01;6.8786e-01;4.2658e-01;6.1615e-01;5.0362e-01",0.40393
"PWY-381","nitrate reduction II (assimilatory)",9,"SORBI_3001G116400;SORBI_3001G231000;SORBI_3001G451500;SORBI_3004G196101;SORBI_3004G247000;SORBI_3004G309300;SORBI_3004G312500;SORBI_3006G249400;SORBI_3007G153900","7.1323e-01;3.2063e-01;8.2383e-01;5.7521e-01;8.1662e-02;5.3119e-01;7.1317e-01;6.2022e-02;4.1003e-01",0.4073
"PWY-622","starch biosynthesis",22,"SORBI_3001G071800;SORBI_3001G100000;SORBI_3001G116500;SORBI_3001G239500;SORBI_3001G376266;SORBI_3002G088600;SORBI_3002G125800;SORBI_3002G155900;SORBI_3002G160400;SORBI_3002G230600;SORBI_3003G222500;SORBI_3003G230500;SORBI_3004G238600;SORBI_3004G338100;SORBI_3006G221000;SORBI_3007G068200;SORBI_3007G101500;SORBI_3008G098032;SORBI_3009G209300;SORBI_3009G245000;SORBI_3010G047700;SORBI_3010G093400","4.3261e-01;5.7526e-01;7.6218e-01;7.2772e-01;4.3468e-02;9.4594e-02;1.5473e-01;8.1070e-01;2.4364e-01;2.9396e-01;7.3985e-01;4.9679e-01;2.3099e-01;1.2223e-03;5.5385e-02;8.5144e-01;2.0995e-01;4.1431e-01;2.6252e-03;2.0580e-08;7.9142e-01;6.7581e-01",0.40731
"PWY0-501","lipoate biosynthesis and incorporation I",5,"SORBI_3001G388900;SORBI_3003G309300;SORBI_3006G038901;SORBI_3006G103100;SORBI_3008G152000","4.3613e-01;1.2318e-02;4.2854e-01;6.1523e-01;6.2987e-01",0.41131
"GLUTAMINDEG-PWY","L-glutamine degradation I",34,"SORBI_3001G151700;SORBI_3001G265500;SORBI_3001G406800;SORBI_3001G432300;SORBI_3002G005600;SORBI_3002G301500;SORBI_3002G301600;SORBI_3002G301700;SORBI_3002G402700;SORBI_3003G017300;SORBI_3003G193700;SORBI_3003G221200;SORBI_3003G241000;SORBI_3003G258800;SORBI_3004G028500;SORBI_3004G209300;SORBI_3004G265900;SORBI_3005G003200;SORBI_3005G139300;SORBI_3005G143500;SORBI_3005G150250;SORBI_3006G027900;SORBI_3006G028000;SORBI_3006G237100;SORBI_3006G278500;SORBI_3007G104300;SORBI_3007G174600;SORBI_3008G127100;SORBI_3008G139800;SORBI_3009G225700;SORBI_3009G239301;SORBI_3009G239500;SORBI_3010G060800;SORBI_3010G110000","6.9039e-01;7.9107e-01;7.6450e-01;9.0333e-01;2.2890e-01;9.1478e-01;7.7003e-01;7.3749e-01;6.0909e-01;5.6400e-01;4.3081e-02;4.1697e-01;1.1137e-02;3.2362e-01;4.7882e-01;1.4783e-04;5.4553e-01;5.7212e-01;1.3693e-01;2.9113e-01;7.8438e-01;3.1033e-02;2.4477e-03;2.9910e-01;8.3573e-01;7.9050e-01;5.6084e-03;5.1521e-01;1.3319e-01;1.0360e-12;1.9580e-08;3.1260e-09;5.6298e-01;8.0159e-01",0.41534
