"GENE","magma_p","magma_z","n_top_pathways","best_pathway_p","pathway_rank","pathways","gwas_min_p","gwas_rank","magma_rank","hit_gwas","hit_magma","hit_pathway","support_layers","score"
"SORBI_3009G224700",9.809e-10,6.106,0,NA,NA,NA,9.809e-10,104,104,TRUE,TRUE,FALSE,2,5.02804770386902
"SORBI_3009G245900",1.3071e-09,5.5251,0,NA,NA,NA,1.3071e-09,105,105,TRUE,TRUE,FALSE,2,5.0197357843267
"SORBI_3009G242250",1.3512e-09,5.5948,0,NA,NA,NA,1.3512e-09,106,106,TRUE,TRUE,FALSE,2,5.01150265193704
"SORBI_3009G206300",0.0014658,2.5309,2,3.74364284205717e-19,7,"PWY-7252; PWY-7253",0.0014658,892.5,892.5,FALSE,FALSE,TRUE,1,5.00356849203047
"SORBI_3009G234000",1.3853e-09,6.1001,0,NA,NA,NA,1.3853e-09,107,107,TRUE,TRUE,FALSE,2,5.00334682709616
"SORBI_3006G146400",0.093269,0.85824,1,5.95944405557204e-35,1,"PWY-3781",0.093269,5504,5504,FALSE,FALSE,TRUE,1,5.00323695729367
"SORBI_3009G221800",1.6585e-09,5.5629,0,NA,NA,NA,1.6585e-09,108,108,TRUE,TRUE,FALSE,2,4.99526687149268
"SORBI_3009G205900",0.0015569,3.4195,2,3.74364284205717e-19,7,"PWY-7252; PWY-7253",0.0015569,906,906,FALSE,FALSE,TRUE,1,4.9905285462453
"SORBI_3009G250300",9.9318e-07,5.8901,1,4.38031058242921e-09,39,"PWY-6348",9.9318e-07,285,285,FALSE,TRUE,TRUE,2,4.98827417195958
"SORBI_3002G034400",0.095908,1.8215,1,5.95944405557204e-35,1,"PWY-3781",0.095908,5601,5601,FALSE,FALSE,TRUE,1,4.9880626624111
"SORBI_3009G233500",1.753e-09,6.1808,0,NA,NA,NA,1.753e-09,109,109,TRUE,TRUE,FALSE,2,4.98726138658533
"SORBI_3009G245800",1.841e-09,5.4519,0,NA,NA,NA,1.841e-09,110,110,TRUE,TRUE,FALSE,2,4.97932901215013
"SORBI_3010G015200",0.098596,1.3434,2,5.95944405557204e-35,1,"PWY-3781; PWY-5690",0.098596,5693,5693,FALSE,FALSE,TRUE,1,4.97391144012548
"SORBI_3009G242400",1.8558e-09,5.3676,0,NA,NA,NA,1.8558e-09,111,111,TRUE,TRUE,FALSE,2,4.97146842489326
"SORBI_3009G246700",1.9786e-09,5.9492,0,NA,NA,NA,1.9786e-09,112,112,TRUE,TRUE,FALSE,2,4.96367833712622
"SORBI_3009G231900",2.0136e-09,6.486,0,NA,NA,NA,2.0136e-09,113,113,TRUE,TRUE,FALSE,2,4.95595749549974
"SORBI_3009G255600",2.09e-09,5.7908,0,NA,NA,NA,2.09e-09,114,114,TRUE,TRUE,FALSE,2,4.94830467979363
"SORBI_3009G242900",2.3541e-09,5.2253,0,NA,NA,NA,2.3541e-09,116,116,TRUE,TRUE,FALSE,2,4.93319840401274
"SORBI_3009G244300",2.4944e-09,5.53,0,NA,NA,NA,2.4944e-09,117,117,TRUE,TRUE,FALSE,2,4.92574265897426
