pathway_size,rho,n_broken,method,lambda,lambda_se,type1_05,type1_05_se,n_combos
50,0.7,2,stouffer,0.942108502,0.09176937,0.3148,0.008491564,10
50,0.7,2,omnibus_analytic,0.066013719,0.001802362,0.2796,0.008873431,10
50,0.7,2,omnibus_mvn,0.871784115,0.005268366,0.0426,0.001156623,10
50,0.7,3,acat,1.461211197,0.123991051,0.1024,0.012084149,10
50,0.7,3,fisher,0.258828083,0.024483217,0.256,0.008164966,10
50,0.7,3,tfisher,0.051191571,0.00510834,0.1452,0.003592585,10
50,0.7,3,minp,0.053198802,0.00530395,0.0356,0.004245782,10
50,0.7,3,stouffer,1.054502567,0.09176937,0.3252,0.008491564,10
50,0.7,3,omnibus_analytic,0.080315109,0.002673169,0.2932,0.008955197,10
50,0.7,3,omnibus_mvn,0.867756699,0.004562446,0.0418,0.001093415,10
50,0.7,4,acat,1.613068601,0.151857404,0.1172,0.0148,5
50,0.7,4,fisher,0.288813777,0.029985694,0.266,0.01,5
50,0.7,4,tfisher,0.057447984,0.006256413,0.1496,0.0044,5
50,0.7,4,minp,0.059694788,0.006495985,0.0408,0.0052,5
50,0.7,4,stouffer,1.166896633,0.112394066,0.3356,0.0104,5
50,0.7,4,omnibus_analytic,0.103409222,0.003292735,0.3068,0.010762899,5
50,0.7,4,omnibus_mvn,0.875965155,0.005301591,0.0416,0.00132665,5
