pathway_size,missing_frac,method,strategy,lambda,lambda_se,type1_05,type1_05_se,type1_01,type1_01_se
25,0.5,tfisher,mvn_imputed_cor,0.58189376,0.084656315,0.076,0.011851076,0.03,0.007628892
25,0.5,minp,analytic_fallback,0.179911995,0.055286294,0.046,0.009368458,0.014,0.005254332
25,0.5,minp,mvn_true_cor,0.970066399,0.136158415,0.062,0.010784804,0.012,0.004869497
25,0.5,minp,mvn_imputed_cor,0.633384894,0.074489953,0.044,0.009172132,0.008,0.003983968
25,0.5,stouffer,analytic_fallback,0.988528765,0.276736667,0.288,0.020251222,0.212,0.018278731
25,0.5,stouffer,mvn_true_cor,0.988397018,0.083772215,0.05,0.009746794,0,0
25,0.5,stouffer,mvn_imputed_cor,0.960947639,0.109319518,0.11,0.013992855,0.042,0.008970619
25,0.5,omnibus,analytic_fallback,0.189005944,0.099416958,0.23,0.018820202,0.174,0.016954291
25,0.5,omnibus,mvn_true_cor,0.938502935,0.145262138,0.05,0.009746794,0.002,0.001997999
25,0.5,omnibus,mvn_imputed_cor,0.856588042,0.145602944,0.086,0.012538261,0.032,0.007870959
25,0.7,acat,analytic_fallback,1.045510801,0.181920646,0.046,0.009368458,0.01,0.004449719
25,0.7,acat,mvn_true_cor,0.988428345,0.111971021,0.032,0.007870959,0.006,0.003453694
25,0.7,acat,mvn_imputed_cor,1.273590637,0.166576581,0.052,0.00992935,0.01,0.004449719
25,0.7,fisher,analytic_fallback,0.317420798,0.138207393,0.19,0.01754423,0.138,0.015424396
25,0.7,fisher,mvn_true_cor,1.004686642,0.103484266,0.036,0.008331146,0.006,0.003453694
25,0.7,fisher,mvn_imputed_cor,0.835859566,0.132501366,0.118,0.014427474,0.06,0.010620734
25,0.7,tfisher,analytic_fallback,0.068207684,0.008696506,0.092,0.012925633,0.076,0.011851076
25,0.7,tfisher,mvn_true_cor,0.905538086,0.099471032,0.038,0.008550556,0,0
25,0.7,tfisher,mvn_imputed_cor,0.442008992,0.079745697,0.052,0.00992935,0.026,0.007116741
25,0.7,minp,analytic_fallback,0.145578409,0.035611499,0.03,0.007628892,0.008,0.003983968
25,0.7,minp,mvn_true_cor,0.890417867,0.096432341,0.036,0.008331146,0.006,0.003453694
25,0.7,minp,mvn_imputed_cor,0.488437542,0.070752015,0.034,0.008104813,0.008,0.003983968
25,0.7,stouffer,analytic_fallback,1.113513312,0.296929235,0.266,0.019760769,0.204,0.018021321
25,0.7,stouffer,mvn_true_cor,1.000001975,0.084506636,0.038,0.008550556,0,0
25,0.7,stouffer,mvn_imputed_cor,1.359789368,0.169524905,0.152,0.016055902,0.076,0.011851076
25,0.7,omnibus,analytic_fallback,0.245436594,0.091510008,0.216,0.018403478,0.142,0.015609997
25,0.7,omnibus,mvn_true_cor,1.045073381,0.136257873,0.036,0.008331146,0.006,0.003453694
25,0.7,omnibus,mvn_imputed_cor,1.069273624,0.179679806,0.116,0.014320894,0.036,0.008331146
50,0,acat,analytic_fallback,1.044681254,0.168216496,0.074,0.01170675,0.012,0.004869497
50,0,acat,mvn_true_cor,1.000001975,0.132372994,0.06,0.010620734,0.006,0.003453694
50,0,acat,mvn_imputed_cor,1.000001975,0.139327782,0.06,0.010620734,0.006,0.003453694
50,0,fisher,analytic_fallback,0.520910899,0.182817989,0.22,0.018525658,0.158,0.016311714
50,0,fisher,mvn_true_cor,1.054659817,0.094350355,0.056,0.010282412,0.008,0.003983968
50,0,fisher,mvn_imputed_cor,1.054659817,0.106395615,0.056,0.010282412,0.008,0.003983968
50,0,tfisher,analytic_fallback,0.079341341,0.011172757,0.134,0.015234435,0.112,0.014103617
50,0,tfisher,mvn_true_cor,0.997703081,0.113690453,0.052,0.00992935,0,0
50,0,tfisher,mvn_imputed_cor,0.997703081,0.123098849,0.052,0.00992935,0,0
50,0,minp,analytic_fallback,0.208313053,0.060467965,0.046,0.009368458,0.004,0.002822765
50,0,minp,mvn_true_cor,1.040194316,0.123293238,0.066,0.011103513,0.004,0.002822765
